"","Duration","Severity","Mean_Intensity","Peak_Intensity","Date_Ini_Ev","Date_Fin_Ev","Interarrival"
"1",1,0.502008344217008,0.502008344217008,0.502008344217008,"4","4",4
"2",5,4.4450691435648,0.889013828712959,1.08209457478145,"8","12",6
"3",2,1.78475725082695,0.892378625413477,1.1252605596352,"14","15",67
"4",8,8.85105167499573,1.10638145937447,1.61885581995561,"81","88",31
"5",3,3.80678122926347,1.26892707642116,1.52090824067518,"112","114",4
"6",1,0.513372633300254,0.513372633300254,0.513372633300254,"116","116",56
"7",1,0.668945412188052,0.668945412188052,0.668945412188052,"172","172",19
"8",1,0.669101051940604,0.669101051940604,0.669101051940604,"191","191",3
"9",4,3.65819074739074,0.914547686847685,1.11389497126477,"194","197",8
"10",1,0.73498621299958,0.73498621299958,0.73498621299958,"202","202",43
"11",4,3.69158520689231,0.922896301723078,1.20865042610802,"245","248",5
"12",1,0.511592359802239,0.511592359802239,0.511592359802239,"250","250",19
"13",1,0.988162056529119,0.988162056529119,0.988162056529119,"269","269",10
"14",17,20.8417727122416,1.22598663013186,1.95007034266647,"279","295",18
"15",10,9.39696363127096,0.939696363127096,1.27355569543852,"297","306",12
"16",3,2.04519997770518,0.681733325901727,0.937059197706304,"309","311",5
"17",1,0.764460895480779,0.764460895480779,0.764460895480779,"314","314",12
"18",32,48.4263563855881,1.51332363704963,2.63601682818531,"326","357",36
"19",1,0.520707686892465,0.520707686892465,0.520707686892465,"362","362",3
"20",28,45.8326092588678,1.63687890210242,2.37411557766619,"365","392",29
"21",13,11.8049880559954,0.908076004307339,1.55870721677711,"394","406",27
"22",1,0.73681284042519,0.73681284042519,0.73681284042519,"421","421",3
"23",7,7.96300572598713,1.13757224656959,1.71012959368469,"424","430",11
"24",16,17.0976927297852,1.06860579561158,1.8253453837894,"435","450",18
"25",1,0.785580277506823,0.785580277506823,0.785580277506823,"453","453",19
"26",8,8.32499376707491,1.04062422088436,1.53104249945182,"472","479",48
"27",1,0.780181126310674,0.780181126310674,0.780181126310674,"520","520",5
"28",4,3.50770320492014,0.876925801230034,1.28886406781164,"525","528",5
"29",1,0.858939815904049,0.858939815904049,0.858939815904049,"530","530",4
"30",1,0.591878554635075,0.591878554635075,0.591878554635075,"534","534",3
"31",1,0.852803391790055,0.852803391790055,0.852803391790055,"537","537",63
"32",1,0.539081566862063,0.539081566862063,0.539081566862063,"600","600",14
"33",13,17.8345027718983,1.37188482860756,2.20773671215788,"614","626",40
"34",1,0.512809620723932,0.512809620723932,0.512809620723932,"654","654",2
"35",11,15.1515832196213,1.37741665632921,1.81706941789705,"656","666",34
"36",16,25.3872666578117,1.58670416611323,2.6696596532194,"690","705",32
"37",1,0.559160925573687,0.559160925573687,0.559160925573687,"722","722",6
"38",2,1.6955299494279,0.847764974713951,0.886610945588437,"728","729",3
"39",2,1.9113138129946,0.955656906497301,0.973324657269306,"731","732",NA
