,Month,Year,P,Tmean,RH
1,1,1950,64.55,-2.58,72.07
2,2,1950,17.20,0.10,70.20
3,3,1950,122.40,4.90,67.00
4,4,1950,96.60,14.40,54.10
5,5,1950,200.80,14.60,73.60
6,6,1950,26.10,18.50,56.10
7,7,1950,8.30,22.00,43.20
8,8,1950,6.70,22.00,39.00
9,9,1950,6.30,21.10,47.50
10,10,1950,29.40,10.80,67.30
11,11,1950,17.50,7.50,72.70
12,12,1950,48.01,6.37,74.73
13,1,1951,86.60,3.00,72.80
14,2,1951,76.60,5.40,70.40
15,3,1951,208.60,8.60,66.50
16,4,1951,25.20,12.40,58.20
17,5,1951,82.90,16.40,56.90
18,6,1951,137.40,18.80,59.60
19,7,1951,58.20,22.20,51.20
20,8,1951,0.00,23.40,43.60
21,9,1951,3.20,19.80,44.70
22,10,1951,145.40,9.20,78.00
23,11,1951,49.70,7.90,75.10
24,12,1951,68.90,-1.50,81.70
25,1,1952,46.10,2.60,75.90
26,2,1952,76.40,4.00,67.60
27,3,1952,54.30,5.20,64.90
28,4,1952,64.10,11.90,55.30
29,5,1952,141.40,14.50,60.90
30,6,1952,84.40,17.70,60.60
31,7,1952,22.30,21.70,53.70
32,8,1952,54.30,23.60,47.90
33,9,1952,3.40,22.30,43.30
34,10,1952,32.70,15.20,60.90
35,11,1952,67.50,9.30,73.10
36,12,1952,72.20,6.70,77.10
37,1,1953,156.40,3.70,75.90
38,2,1953,56.30,3.60,68.50
39,3,1953,62.30,0.10,72.40
40,4,1953,31.80,11.10,62.00
41,5,1953,72.50,14.30,66.80
42,6,1953,72.20,19.20,61.50
43,7,1953,0.00,22.90,44.90
44,8,1953,0.92,22.09,49.62
45,9,1953,16.35,17.20,51.01
46,10,1953,20.65,13.09,59.09
47,11,1953,38.29,4.33,73.22
48,12,1953,30.52,-1.30,72.80
49,1,1954,96.54,-0.30,74.49
50,2,1954,67.98,3.32,76.49
51,3,1954,49.54,8.78,70.02
52,4,1954,54.59,8.97,67.76
53,5,1954,40.21,14.94,64.21
54,6,1954,20.80,20.78,62.93
55,7,1954,3.62,24.10,50.86
56,8,1954,11.93,23.35,48.31
57,9,1954,8.67,18.26,52.75
58,10,1954,15.19,13.83,61.70
59,11,1954,43.81,8.60,74.15
60,12,1954,112.89,2.76,80.37
61,1,1955,50.70,5.59,78.22
62,2,1955,44.96,7.90,64.38
63,3,1955,41.31,7.71,67.89
64,4,1955,60.22,9.30,65.23
65,5,1955,31.71,16.18,59.84
66,6,1955,3.48,20.92,46.42
67,7,1955,18.47,21.43,49.57
68,8,1955,11.15,20.57,54.73
69,9,1955,21.65,17.37,58.04
70,10,1955,36.63,14.77,62.92
71,11,1955,85.27,8.45,71.96
72,12,1955,50.80,4.46,77.29
73,1,1956,46.45,2.75,78.42
74,2,1956,110.15,2.38,75.53
75,3,1956,40.48,2.50,68.51
76,4,1956,14.43,12.28,54.03
77,5,1956,40.99,13.92,62.42
78,6,1956,9.32,20.02,50.65
79,7,1956,1.67,22.14,44.30
80,8,1956,5.91,23.50,44.53
81,9,1956,4.34,16.01,47.86
82,10,1956,7.69,10.71,51.62
83,11,1956,29.40,6.39,67.30
84,12,1956,47.67,1.13,79.56
85,1,1957,26.70,-0.11,78.10
86,2,1957,30.16,5.91,72.37
87,3,1957,40.63,6.59,62.65
88,4,1957,39.15,11.51,58.11
89,5,1957,79.94,14.56,65.07
90,6,1957,49.03,19.23,58.15
91,7,1957,7.66,22.96,44.48
92,8,1957,2.44,23.35,44.34
93,9,1957,32.93,19.28,55.49
94,10,1957,20.04,14.60,63.89
95,11,1957,36.71,7.71,72.83
96,12,1957,55.76,4.09,73.13
97,1,1958,90.97,2.89,77.73
98,2,1958,27.65,6.28,65.61
99,3,1958,85.17,7.91,67.04
100,4,1958,42.32,11.09,62.48
101,5,1958,41.69,16.26,62.86
102,6,1958,51.66,19.47,62.62
103,7,1958,5.44,22.23,53.11
104,8,1958,2.59,22.84,47.39
105,9,1958,26.36,16.84,59.09
106,10,1958,20.44,12.12,60.11
107,11,1958,14.35,8.14,67.37
108,12,1958,40.90,4.62,76.38
109,1,1959,222.40,2.60,77.40
110,2,1959,30.10,-4.10,72.50
111,3,1959,16.50,5.20,75.00
112,4,1959,0.00,11.10,68.20
113,5,1959,0.00,15.60,69.00
114,6,1959,49.50,18.90,65.00
115,7,1959,49.90,21.70,62.90
116,8,1959,0.00,20.60,61.00
117,9,1959,11.30,15.10,62.20
118,10,1959,53.40,9.90,67.50
119,11,1959,56.50,6.70,74.40
120,12,1959,44.30,5.80,75.60
121,1,1960,106.80,3.40,74.17
122,2,1960,79.40,2.60,65.60
123,3,1960,104.30,5.50,71.30
124,4,1960,44.40,11.20,67.30
125,5,1960,48.70,16.70,61.40
126,6,1960,131.70,17.50,71.20
127,7,1960,7.60,22.20,64.40
128,8,1960,0.80,21.20,65.20
129,9,1960,10.60,18.10,78.70
130,10,1960,17.70,16.10,74.70
131,11,1960,24.30,9.80,78.00
132,12,1960,51.00,6.30,75.60
133,1,1961,25.50,1.50,76.60
134,2,1961,255.70,0.60,75.70
135,3,1961,138.10,4.00,75.60
136,4,1961,21.60,12.40,75.60
137,5,1961,64.50,16.40,62.20
138,6,1961,45.00,19.30,69.10
139,7,1961,21.50,21.90,59.00
140,8,1961,0.00,22.40,54.20
141,9,1961,11.00,15.00,62.60
142,10,1961,46.80,12.20,68.10
143,11,1961,23.00,9.70,68.80
144,12,1961,58.80,5.10,75.30
145,1,1962,39.90,2.00,78.20
146,2,1962,86.40,2.20,77.80
147,3,1962,45.80,9.30,60.40
148,4,1962,61.30,10.70,65.50
149,5,1962,84.90,17.00,58.70
150,6,1962,22.90,20.30,54.20
151,7,1962,1.20,23.50,47.70
152,8,1962,0.60,24.40,40.90
153,9,1962,44.90,19.00,50.90
154,10,1962,86.10,13.00,72.30
155,11,1962,17.70,12.40,68.80
156,12,1962,128.50,6.00,77.10
157,1,1963,117.90,3.70,73.00
158,2,1963,103.20,5.80,68.30
159,3,1963,79.80,3.70,67.20
160,4,1963,133.40,10.20,65.70
161,5,1963,124.10,14.00,68.80
162,6,1963,125.90,18.90,61.90
163,7,1963,79.50,22.00,53.70
164,8,1963,0.00,23.60,43.60
165,9,1963,9.10,18.90,53.40
166,10,1963,68.00,13.90,65.90
167,11,1963,25.30,9.30,68.60
168,12,1963,42.60,4.30,69.20
169,1,1964,13.30,-3.20,65.20
170,2,1964,81.50,0.60,75.30
171,3,1964,116.70,6.90,68.30
172,4,1964,29.40,9.60,53.30
173,5,1964,71.90,14.00,61.50
174,6,1964,92.20,18.00,66.10
175,7,1964,8.20,21.90,55.00
176,8,1964,6.70,21.00,54.20
177,9,1964,14.40,17.40,52.60
178,10,1964,2.10,14.60,53.60
179,11,1964,78.50,7.90,66.30
180,12,1964,113.50,4.60,76.50
181,1,1965,93.30,1.40,74.20
182,2,1965,146.40,1.40,71.10
183,3,1965,28.10,7.50,60.70
184,4,1965,68.90,10.40,60.00
185,5,1965,48.00,14.80,57.80
186,6,1965,26.00,21.00,53.80
187,7,1965,1.20,22.70,57.90
188,8,1965,6.00,23.10,58.50
189,9,1965,0.00,20.20,48.60
190,10,1965,41.30,10.40,63.70
191,11,1965,86.30,8.60,61.50
192,12,1965,129.70,5.30,72.40
193,1,1966,157.80,3.00,73.40
194,2,1966,7.70,6.90,61.50
195,3,1966,109.70,6.80,62.80
196,4,1966,71.60,12.50,56.20
197,5,1966,53.10,15.10,59.30
198,6,1966,16.70,20.00,55.80
199,7,1966,11.70,24.10,55.40
200,8,1966,15.10,24.40,47.20
201,9,1966,17.40,18.80,52.90
202,10,1966,3.70,16.60,58.60
203,11,1966,45.90,12.70,68.20
204,12,1966,123.00,4.10,78.80
205,1,1967,98.00,0.30,73.20
206,2,1967,55.20,-0.70,75.60
207,3,1967,63.70,4.40,71.40
208,4,1967,109.10,10.00,64.70
209,5,1967,94.90,14.50,66.80
210,6,1967,18.60,17.70,58.90
211,7,1967,33.50,20.70,54.30
212,8,1967,2.60,21.40,51.50
213,9,1967,23.70,17.40,57.40
214,10,1967,27.90,12.30,64.40
215,11,1967,57.00,5.30,73.20
216,12,1967,99.80,5.10,70.00
217,1,1968,148.50,0.80,65.40
218,2,1968,81.10,3.00,73.40
219,3,1968,171.60,4.80,67.10
220,4,1968,46.50,13.70,60.50
221,5,1968,7.80,18.50,60.50
222,6,1968,28.40,18.60,61.30
223,7,1968,3.20,22.00,54.30
224,8,1968,18.00,20.90,55.60
225,9,1968,63.40,16.80,66.70
226,10,1968,50.60,11.50,71.80
227,11,1968,60.20,7.90,76.60
228,12,1968,113.50,4.90,71.20
229,1,1969,121.50,0.70,74.30
230,2,1969,57.30,4.00,70.30
231,3,1969,88.50,6.80,70.30
232,4,1969,103.90,7.50,63.40
233,5,1969,91.20,16.60,59.90
234,6,1969,31.30,20.50,53.30
235,7,1969,9.20,20.40,50.00
236,8,1969,6.90,22.60,48.90
237,9,1969,33.60,18.00,55.70
238,10,1969,18.60,11.50,65.60
239,11,1969,84.90,7.20,66.10
240,12,1969,84.90,6.40,68.80
241,1,1970,89.20,4.40,72.70
242,2,1970,58.10,6.30,61.70
243,3,1970,37.60,8.10,60.20
244,4,1970,51.90,13.60,54.10
245,5,1970,22.00,15.00,51.30
246,6,1970,16.10,19.70,51.70
247,7,1970,4.30,23.80,48.60
248,8,1970,33.10,21.90,51.90
249,9,1970,35.50,17.50,54.10
250,10,1970,59.00,11.00,61.80
251,11,1970,54.40,7.80,69.70
252,12,1970,41.30,1.50,71.70
253,1,1971,10.00,5.30,65.40
254,2,1971,78.00,2.80,64.70
255,3,1971,55.80,7.00,56.40
256,4,1971,114.80,9.70,62.10
257,5,1971,94.20,15.60,60.90
258,6,1971,21.30,19.00,56.90
259,7,1971,15.00,22.10,52.60
260,8,1971,44.00,20.70,55.60
261,9,1971,14.70,18.50,57.50
262,10,1971,28.30,10.00,63.30
263,11,1971,37.80,8.00,64.10
264,12,1971,152.90,0.80,67.10
265,1,1972,22.70,-4.90,70.60
266,2,1972,57.50,-2.40,70.60
267,3,1972,24.70,6.20,60.00
268,4,1972,43.90,13.10,55.70
269,5,1972,41.50,15.90,54.90
270,6,1972,85.10,19.10,59.90
271,7,1972,61.10,22.90,52.00
272,8,1972,13.50,21.60,55.90
273,9,1972,10.00,18.60,56.10
274,10,1972,75.50,12.90,65.30
275,11,1972,27.50,6.20,66.80
276,12,1972,8.30,0.20,65.70
277,1,1973,15.00,-0.20,67.40
278,2,1973,57.30,5.40,60.40
279,3,1973,128.50,4.40,60.40
280,4,1973,20.20,10.80,56.70
281,5,1973,35.70,16.20,55.10
282,6,1973,67.90,18.80,49.00
283,7,1973,21.20,23.20,45.30
284,8,1973,10.00,21.10,48.10
285,9,1973,0.00,19.30,50.80
286,10,1973,25.70,13.10,55.40
287,11,1973,38.90,5.20,60.80
288,12,1973,46.40,3.40,73.70
289,1,1974,49.80,-3.80,68.70
290,2,1974,45.50,2.70,65.50
291,3,1974,52.30,7.60,62.60
292,4,1974,35.50,9.60,54.90
293,5,1974,41.00,15.40,55.30
294,6,1974,32.00,21.30,47.80
295,7,1974,9.10,22.50,40.10
296,8,1974,35.00,21.10,52.20
297,9,1974,25.00,17.00,48.40
298,10,1974,16.30,17.00,49.60
299,11,1974,28.60,7.70,64.10
300,12,1974,71.30,1.00,70.40
301,1,1975,39.90,-0.10,69.60
302,2,1975,115.00,1.10,68.60
303,3,1975,40.70,8.10,52.60
304,4,1975,72.70,12.70,55.00
305,5,1975,79.90,14.80,61.30
306,6,1975,84.10,19.30,53.30
307,7,1975,2.60,23.10,48.30
308,8,1975,24.60,22.10,49.30
309,9,1975,1.80,18.00,49.80
310,10,1975,30.30,12.50,55.60
311,11,1975,47.50,6.70,60.90
312,12,1975,55.00,-0.80,74.40
313,1,1976,105.10,-0.60,70.00
314,2,1976,48.30,-1.00,68.20
315,3,1976,52.10,6.30,66.00
316,4,1976,85.50,10.80,58.90
317,5,1976,85.60,15.10,62.80
318,6,1976,39.10,18.70,58.00
319,7,1976,5.80,21.90,50.20
320,8,1976,6.90,20.60,52.00
321,9,1976,4.80,17.90,49.20
322,10,1976,77.60,14.10,61.60
323,11,1976,89.20,8.60,64.40
324,12,1976,109.40,3.10,67.60
325,1,1977,44.20,1.30,65.20
326,2,1977,25.60,7.70,54.40
327,3,1977,111.20,5.60,58.20
328,4,1977,172.40,10.20,58.40
329,5,1977,16.90,16.20,53.70
330,6,1977,60.10,19.70,53.00
331,7,1977,8.10,22.80,50.00
332,8,1977,0.10,23.60,47.90
333,9,1977,55.90,17.40,56.90
334,10,1977,111.70,10.10,60.30
335,11,1977,4.60,10.70,53.80
336,12,1977,100.30,0.60,68.50
337,1,1978,105.30,2.40,70.10
338,2,1978,77.70,6.50,52.30
339,3,1978,162.00,6.90,59.00
340,4,1978,57.00,10.70,54.10
341,5,1978,12.10,16.50,46.30
342,6,1978,24.50,19.70,45.70
343,7,1978,1.30,22.90,42.40
344,8,1978,0.00,20.80,42.30
345,9,1978,46.20,17.10,51.30
346,10,1978,94.40,13.60,56.40
347,11,1978,14.40,4.50,60.40
348,12,1978,124.30,4.00,67.40
349,1,1979,105.30,2.90,62.90
350,2,1979,43.30,5.20,60.50
351,3,1979,24.50,8.50,55.20
352,4,1979,109.90,10.80,56.20
353,5,1979,72.00,15.10,58.60
354,6,1979,83.60,19.50,50.50
355,7,1979,7.10,21.40,47.90
356,8,1979,12.60,23.40,50.10
357,9,1979,2.10,18.70,50.70
358,10,1979,71.40,13.30,64.00
359,11,1979,70.20,8.00,68.20
360,12,1979,47.10,3.50,67.90
361,1,1980,144.90,-0.70,67.70
362,2,1980,34.70,1.40,69.30
363,3,1980,65.30,5.20,59.10
364,4,1980,65.70,10.00,57.60
365,5,1980,49.20,15.40,53.30
366,6,1980,48.50,19.90,48.10
367,7,1980,0.10,24.60,44.30
368,8,1980,0.20,22.70,45.40
369,9,1980,9.70,16.80,52.50
370,10,1980,40.70,14.40,56.50
371,11,1980,54.30,8.40,62.00
372,12,1980,57.20,3.30,63.20
373,1,1981,132.20,2.70,67.20
374,2,1981,43.60,1.90,66.60
375,3,1981,40.90,8.00,58.00
376,4,1981,46.90,10.20,48.60
377,5,1981,46.30,13.00,52.10
378,6,1981,39.30,19.80,48.60
379,7,1981,25.20,22.40,44.80
380,8,1981,0.20,21.30,44.90
381,9,1981,0.90,19.00,44.90
382,10,1981,30.50,15.30,52.50
383,11,1981,55.80,5.50,62.50
384,12,1981,92.70,7.80,57.30
