,Month,Year,P,Tmean,RH
1,1,1950,48.18,-1.71,75.33
2,2,1950,26.60,1.24,75.20
3,3,1950,48.72,5.88,70.50
4,4,1950,41.84,14.24,54.87
5,5,1950,107.08,14.35,70.13
6,6,1950,21.48,17.39,55.07
7,7,1950,1.46,19.87,48.88
8,8,1950,0.00,18.94,46.46
9,9,1950,0.00,18.21,49.25
10,10,1950,36.49,10.38,62.91
11,11,1950,15.64,6.38,68.08
12,12,1950,22.39,6.05,74.01
13,1,1951,36.62,2.26,73.05
14,2,1951,27.79,4.75,70.01
15,3,1951,55.74,8.25,65.97
16,4,1951,37.99,11.51,61.18
17,5,1951,30.68,14.90,58.91
18,6,1951,48.18,17.26,59.74
19,7,1951,19.10,20.12,51.89
20,8,1951,7.28,20.78,50.31
21,9,1951,9.18,16.96,54.14
22,10,1951,65.31,9.24,77.17
23,11,1951,38.17,7.83,73.96
24,12,1951,31.39,0.80,80.00
25,1,1952,25.17,4.22,77.26
26,2,1952,32.03,4.67,71.30
27,3,1952,52.29,4.94,65.97
28,4,1952,27.99,10.12,57.73
29,5,1952,55.51,13.26,59.80
30,6,1952,36.51,16.55,60.05
31,7,1952,10.46,20.05,52.86
32,8,1952,8.63,21.02,51.36
33,9,1952,0.60,19.09,48.50
34,10,1952,9.27,13.12,61.84
35,11,1952,50.10,7.49,74.86
36,12,1952,61.37,6.43,81.93
37,1,1953,74.17,4.26,77.91
38,2,1953,67.03,3.42,72.34
39,3,1953,52.89,0.48,73.41
40,4,1953,34.55,10.31,61.25
41,5,1953,45.77,13.37,59.39
42,6,1953,25.80,18.59,56.99
43,7,1953,0.00,20.85,48.21
44,8,1953,1.02,19.86,49.57
45,9,1953,14.81,15.02,51.68
46,10,1953,19.21,11.41,60.59
47,11,1953,40.73,2.99,76.40
48,12,1953,22.67,-2.18,73.36
49,1,1954,67.35,0.55,77.37
50,2,1954,48.49,2.91,78.20
51,3,1954,35.17,7.63,70.47
52,4,1954,45.16,8.70,65.66
53,5,1954,26.15,14.50,57.24
54,6,1954,21.93,19.35,53.93
55,7,1954,3.45,22.32,46.28
56,8,1954,6.85,20.98,44.60
57,9,1954,1.17,16.43,51.80
58,10,1954,11.10,12.59,56.82
59,11,1954,30.47,8.29,71.69
60,12,1954,93.71,3.41,81.49
61,1,1955,25.45,4.48,77.59
62,2,1955,23.41,8.23,63.01
63,3,1955,34.57,7.86,66.05
64,4,1955,42.92,9.34,62.79
65,5,1955,34.58,15.21,58.29
66,6,1955,0.45,19.90,44.56
67,7,1955,5.62,20.91,47.23
68,8,1955,9.85,19.53,51.12
69,9,1955,10.61,16.58,57.03
70,10,1955,16.48,13.49,59.15
71,11,1955,36.36,7.57,73.22
72,12,1955,44.86,3.85,79.85
73,1,1956,35.20,1.68,78.83
74,2,1956,74.28,2.47,75.44
75,3,1956,25.51,2.55,66.99
76,4,1956,9.73,11.44,52.42
77,5,1956,35.26,13.83,57.31
78,6,1956,5.67,19.31,47.30
79,7,1956,0.00,20.67,43.69
80,8,1956,2.46,21.01,44.00
81,9,1956,5.76,14.28,50.56
82,10,1956,10.90,9.89,52.69
83,11,1956,28.27,5.63,63.17
84,12,1956,39.62,2.18,74.95
85,1,1957,22.80,-0.32,75.17
86,2,1957,31.94,5.19,69.23
87,3,1957,37.46,5.70,60.02
88,4,1957,33.49,11.20,52.67
89,5,1957,64.64,14.64,58.75
90,6,1957,40.17,18.43,53.63
91,7,1957,3.36,21.72,43.05
92,8,1957,0.00,21.70,40.58
93,9,1957,16.87,18.60,52.84
94,10,1957,17.27,13.23,58.73
95,11,1957,29.66,7.22,69.85
96,12,1957,39.46,4.44,72.52
97,1,1958,66.62,3.21,77.46
98,2,1958,17.56,5.03,64.06
99,3,1958,53.91,7.97,63.38
100,4,1958,32.83,10.80,56.46
101,5,1958,38.68,14.61,54.81
102,6,1958,54.18,17.84,55.26
103,7,1958,4.14,20.23,49.90
104,8,1958,0.06,20.35,44.82
105,9,1958,13.31,15.46,58.14
106,10,1958,8.74,10.97,58.59
107,11,1958,10.22,6.87,66.04
108,12,1958,47.88,4.76,77.13
109,1,1959,82.77,3.25,75.52
110,2,1959,17.89,-3.60,72.51
111,3,1959,12.37,5.57,68.92
112,4,1959,28.74,10.84,60.47
113,5,1959,21.44,15.26,62.29
114,6,1959,32.93,17.90,57.68
115,7,1959,4.46,20.00,53.85
116,8,1959,8.85,18.49,51.53
117,9,1959,9.91,13.92,56.38
118,10,1959,25.53,8.87,64.39
119,11,1959,26.86,6.55,72.10
120,12,1959,38.46,5.96,74.25
121,1,1960,33.37,4.37,71.03
122,2,1960,36.17,3.43,71.40
123,3,1960,58.16,5.34,71.53
124,4,1960,56.77,10.49,67.58
125,5,1960,32.70,15.95,54.28
126,6,1960,38.69,16.75,58.70
127,7,1960,3.22,20.91,53.08
128,8,1960,2.83,18.93,53.67
129,9,1960,7.69,16.00,59.22
130,10,1960,8.29,13.55,60.65
131,11,1960,25.35,9.63,71.28
132,12,1960,22.68,5.79,74.14
133,1,1961,29.99,1.93,74.38
134,2,1961,71.36,2.09,73.28
135,3,1961,38.44,4.11,62.06
136,4,1961,10.09,12.00,54.76
137,5,1961,22.37,17.06,51.16
