,Month,Year,P,Tmean,RH
1,1,1950,106.86,-3.88,72.27
2,2,1950,48.84,-0.03,64.34
3,3,1950,81.53,3.14,64.74
4,4,1950,61.21,11.27,53.24
5,5,1950,124.92,11.84,71.20
6,6,1950,23.67,15.73,51.72
7,7,1950,3.90,18.83,45.16
8,8,1950,0.00,18.16,40.73
9,9,1950,14.99,17.08,42.40
10,10,1950,54.50,9.02,61.03
11,11,1950,43.54,5.00,64.29
12,12,1950,72.43,5.58,64.03
13,1,1951,123.65,0.31,70.80
14,2,1951,68.50,2.01,66.21
15,3,1951,94.55,5.91,65.30
16,4,1951,33.18,9.27,60.00
17,5,1951,48.19,13.17,53.87
18,6,1951,54.47,15.93,54.85
19,7,1951,11.99,18.98,47.15
20,8,1951,1.20,19.92,44.20
21,9,1951,10.98,16.22,47.35
22,10,1951,125.79,7.94,72.41
23,11,1951,75.09,6.55,68.03
24,12,1951,65.67,-0.65,72.58
25,1,1952,94.09,1.48,72.58
26,2,1952,125.53,1.67,68.92
27,3,1952,83.09,2.27,64.81
28,4,1952,32.21,8.04,57.25
29,5,1952,67.98,11.49,58.66
30,6,1952,35.17,15.07,58.39
31,7,1952,8.91,19.07,49.93
32,8,1952,16.43,20.28,45.60
33,9,1952,3.34,18.63,41.08
34,10,1952,33.22,12.37,53.48
35,11,1952,153.51,6.24,67.09
36,12,1952,160.23,4.84,72.65
37,1,1953,222.14,1.36,71.70
38,2,1953,136.58,1.20,68.26
39,3,1953,90.19,-1.86,70.49
40,4,1953,49.47,7.86,55.59
41,5,1953,42.15,11.80,52.45
42,6,1953,41.25,16.57,52.44
43,7,1953,0.00,19.56,42.23
44,8,1953,0.00,19.51,40.91
45,9,1953,18.60,14.85,42.13
46,10,1953,17.92,10.55,52.34
47,11,1953,67.79,1.38,74.11
48,12,1953,53.51,-2.73,71.90
49,1,1954,172.47,-1.62,75.90
50,2,1954,101.38,0.51,76.19
51,3,1954,58.20,5.48,64.70
52,4,1954,66.04,6.56,60.67
53,5,1954,42.51,12.38,48.62
54,6,1954,16.48,18.09,47.20
55,7,1954,2.50,21.16,36.88
56,8,1954,9.67,20.43,33.23
57,9,1954,12.56,15.82,43.65
58,10,1954,41.73,11.49,47.32
59,11,1954,89.76,6.14,63.80
60,12,1954,228.54,0.93,72.92
61,1,1955,94.25,3.43,68.00
62,2,1955,60.91,5.23,56.54
63,3,1955,65.21,5.31,57.74
64,4,1955,69.45,7.50,57.66
65,5,1955,32.31,13.33,51.26
66,6,1955,0.00,18.45,39.40
67,7,1955,1.30,19.47,43.42
68,8,1955,0.00,18.63,46.17
69,9,1955,12.69,15.77,49.40
70,10,1955,32.17,12.20,50.13
71,11,1955,132.03,5.96,67.13
72,12,1955,97.49,2.35,72.61
73,1,1956,78.98,0.28,69.36
74,2,1956,176.55,0.68,65.82
75,3,1956,52.30,0.14,58.10
76,4,1956,15.59,9.05,44.21
77,5,1956,46.97,11.48,48.64
78,6,1956,1.83,17.42,39.00
79,7,1956,0.93,20.31,34.89
80,8,1956,6.71,20.83,32.11
81,9,1956,5.27,14.54,36.31
82,10,1956,11.02,9.26,39.43
83,11,1956,33.51,4.10,52.52
84,12,1956,93.76,-0.07,66.65
85,1,1957,55.70,-2.10,69.64
86,2,1957,43.46,2.79,64.86
87,3,1957,63.39,3.43,58.55
88,4,1957,37.34,8.12,52.21
89,5,1957,68.57,11.71,58.76
90,6,1957,43.31,16.77,52.45
91,7,1957,0.37,20.21,40.63
92,8,1957,2.03,21.06,35.84
93,9,1957,18.17,17.40,48.83
94,10,1957,29.79,12.32,49.97
95,11,1957,55.91,5.77,61.71
96,12,1957,120.59,2.01,64.39
97,1,1958,161.82,0.76,70.94
98,2,1958,52.35,3.26,59.47
99,3,1958,117.22,5.40,62.88
100,4,1958,37.53,8.46,50.06
101,5,1958,47.09,13.10,48.48
102,6,1958,48.00,16.38,48.63
103,7,1958,4.26,19.25,43.14
104,8,1958,3.47,20.18,37.62
105,9,1958,16.44,14.67,47.81
106,10,1958,32.83,10.10,46.40
107,11,1958,23.99,5.90,55.30
108,12,1958,116.92,3.04,71.08
109,1,1959,203.84,0.88,68.15
110,2,1959,32.02,-5.50,68.44
111,3,1959,23.22,2.80,64.60
112,4,1959,28.55,8.47,51.92
113,5,1959,35.88,12.76,57.04
114,6,1959,30.70,16.02,51.73
115,7,1959,14.74,18.71,49.20
116,8,1959,9.56,18.08,48.04
117,9,1959,9.46,13.10,50.63
118,10,1959,59.49,8.15,58.14
119,11,1959,57.17,5.05,66.96
120,12,1959,126.86,3.99,67.43
121,1,1960,52.80,1.77,64.90
122,2,1960,43.80,1.56,66.76
123,3,1960,95.25,2.82,70.96
124,4,1960,61.40,7.78,66.37
125,5,1960,19.80,14.19,48.66
126,6,1960,49.50,15.58,57.19
127,7,1960,0.00,19.78,47.85
128,8,1960,0.00,18.77,49.11
129,9,1960,12.90,15.64,53.33
130,10,1960,22.40,12.96,47.45
131,11,1960,34.10,8.18,66.01
132,12,1960,101.40,4.86,64.02
133,1,1961,70.40,-0.43,69.41
134,2,1961,141.50,-0.87,74.10
135,3,1961,19.40,1.87,61.10
136,4,1961,23.10,9.44,52.91
137,5,1961,32.90,13.93,47.67
138,6,1961,0.00,17.25,51.53
139,7,1961,0.00,19.89,46.83
140,8,1961,0.00,19.45,46.17
141,9,1961,24.00,13.04,52.70
142,10,1961,69.00,10.30,56.00
143,11,1961,7.30,6.52,60.26
144,12,1961,84.90,3.17,72.74
145,1,1962,32.20,1.03,71.15
146,2,1962,164.40,-0.14,72.76
147,3,1962,21.40,6.54,55.68
148,4,1962,102.90,7.52,61.10
149,5,1962,21.00,13.28,49.10
150,6,1962,0.00,17.60,42.67
151,7,1962,0.00,20.85,39.80
152,8,1962,0.00,21.39,34.20
153,9,1962,17.50,16.52,41.33
154,10,1962,102.40,11.84,63.07
155,11,1962,4.20,10.03,57.24
156,12,1962,265.40,3.48,70.60
157,1,1963,170.47,1.84,69.91
158,2,1963,117.17,3.18,60.99
159,3,1963,77.12,1.20,65.95
160,4,1963,55.75,7.69,62.90
161,5,1963,87.25,11.34,67.69
162,6,1963,20.90,16.60,56.18
163,7,1963,26.89,20.04,52.06
164,8,1963,4.50,20.90,40.08
165,9,1963,12.87,16.62,51.78
166,10,1963,38.50,11.68,61.40
167,11,1963,19.00,6.50,58.37
168,12,1963,54.60,1.40,64.00
169,1,1964,23.70,-5.30,60.70
170,2,1964,82.20,-0.90,74.50
171,3,1964,39.90,4.80,66.20
172,4,1964,31.00,7.00,50.80
173,5,1964,34.50,11.50,58.00
174,6,1964,21.30,16.50,57.20
175,7,1964,2.40,21.00,38.00
176,8,1964,0.00,19.70,41.60
177,9,1964,8.60,15.00,45.10
178,10,1964,0.80,12.40,39.20
179,11,1964,62.90,5.90,57.80
180,12,1964,137.80,1.80,71.70
181,1,1965,123.80,-0.90,76.30
182,2,1965,249.20,-0.60,71.10
183,3,1965,36.70,4.00,61.30
184,4,1965,66.60,7.50,56.00
185,5,1965,81.70,12.00,54.00
186,6,1965,25.00,18.20,44.80
187,7,1965,3.40,20.80,39.90
188,8,1965,0.00,21.00,44.30
189,9,1965,0.00,17.60,36.60
190,10,1965,47.80,7.40,61.00
191,11,1965,48.70,5.60,61.00
192,12,1965,184.50,2.60,68.60
193,1,1966,294.70,0.80,75.00
194,2,1966,12.60,2.90,63.00
195,3,1966,105.10,3.60,61.30
196,4,1966,9.70,9.60,53.70
197,5,1966,11.80,12.80,43.50
198,6,1966,29.90,17.90,40.50
199,7,1966,0.00,21.70,35.30
200,8,1966,10.30,22.50,39.30
201,9,1966,12.60,15.80,50.30
202,10,1966,1.60,13.30,51.70
203,11,1966,78.30,9.70,65.10
204,12,1966,225.00,1.50,73.10
205,1,1967,123.10,-1.20,70.80
206,2,1967,68.60,-3.30,70.30
207,3,1967,162.50,0.70,71.40
208,4,1967,72.10,7.30,60.50
209,5,1967,45.70,12.20,59.60
210,6,1967,4.80,16.00,49.10
