,Month,Year,P,Tmean,RH
1,1,1950,69.79,-2.51,75.81
2,2,1950,44.33,-0.30,74.86
3,3,1950,84.38,5.39,72.19
4,4,1950,70.68,14.46,58.28
5,5,1950,119.22,15.38,75.11
6,6,1950,22.74,19.09,57.55
7,7,1950,4.07,21.70,59.00
8,8,1950,1.06,21.10,59.50
9,9,1950,0.00,20.10,54.00
10,10,1950,53.60,11.40,60.40
11,11,1950,15.00,7.70,62.50
12,12,1950,19.10,5.60,73.10
13,1,1951,42.50,1.90,78.50
14,2,1951,36.70,4.70,71.20
15,3,1951,25.70,9.20,61.80
16,4,1951,57.80,12.50,55.90
17,5,1951,14.10,16.70,54.90
18,6,1951,38.30,19.70,53.40
19,7,1951,2.40,22.70,45.40
20,8,1951,0.00,23.00,55.30
21,9,1951,0.60,18.80,52.70
22,10,1951,69.80,9.90,81.00
23,11,1951,49.20,8.00,71.80
24,12,1951,36.40,-1.50,78.40
25,1,1952,24.10,2.10,76.40
26,2,1952,14.30,4.00,69.90
27,3,1952,53.80,4.80,69.30
28,4,1952,57.40,11.30,57.20
29,5,1952,62.90,14.90,58.08
30,6,1952,38.08,17.84,58.68
31,7,1952,10.93,22.07,51.30
32,8,1952,10.55,23.19,48.66
33,9,1952,2.49,21.29,42.78
34,10,1952,10.84,14.68,56.97
35,11,1952,74.73,7.80,72.69
36,12,1952,77.42,5.92,79.41
37,1,1953,113.55,3.73,77.15
38,2,1953,116.95,3.32,73.83
39,3,1953,82.53,0.17,74.93
40,4,1953,63.73,10.87,59.44
41,5,1953,51.00,14.77,57.66
42,6,1953,24.99,19.59,52.62
43,7,1953,0.90,22.41,45.39
44,8,1953,0.82,22.02,44.86
45,9,1953,15.61,16.89,46.53
46,10,1953,20.00,12.65,56.62
47,11,1953,54.44,3.30,77.96
48,12,1953,35.46,-3.47,76.33
49,1,1954,123.67,0.09,78.86
50,2,1954,79.69,3.15,80.09
51,3,1954,50.60,8.16,69.07
52,4,1954,60.71,9.22,65.54
53,5,1954,39.65,15.35,54.98
54,6,1954,21.20,21.07,50.80
55,7,1954,2.56,24.43,41.90
56,8,1954,9.51,23.42,37.89
57,9,1954,3.56,18.16,46.44
58,10,1954,14.22,13.65,51.90
59,11,1954,48.59,7.76,71.46
60,12,1954,151.96,2.23,80.77
61,1,1955,35.38,3.92,76.87
62,2,1955,39.79,7.62,62.83
63,3,1955,64.77,7.74,65.40
64,4,1955,58.31,10.37,65.86
65,5,1955,49.99,16.01,55.66
66,6,1955,1.05,21.38,40.30
67,7,1955,5.39,22.36,46.23
68,8,1955,6.22,21.14,49.21
69,9,1955,15.06,18.12,53.88
70,10,1955,17.69,14.50,55.20
71,11,1955,63.69,7.62,73.92
72,12,1955,74.62,3.59,80.79
73,1,1956,56.34,1.98,79.53
74,2,1956,113.39,2.86,76.99
75,3,1956,38.17,2.74,69.65
76,4,1956,15.94,12.01,50.06
77,5,1956,48.81,14.28,55.52
78,6,1956,7.56,20.49,42.35
79,7,1956,0.65,22.73,36.15
80,8,1956,7.04,23.15,36.44
81,9,1956,5.97,15.69,43.20
82,10,1956,10.92,10.28,46.83
83,11,1956,34.22,5.91,60.05
84,12,1956,60.29,0.23,76.04
85,1,1957,37.71,-1.55,77.02
86,2,1957,44.78,4.37,71.66
87,3,1957,46.15,6.41,62.00
88,4,1957,45.71,11.64,53.97
89,5,1957,70.57,14.67,62.42
90,6,1957,38.79,19.30,54.25
91,7,1957,2.73,23.33,39.89
92,8,1957,0.59,23.81,35.74
93,9,1957,17.55,20.08,50.00
94,10,1957,19.88,14.24,57.78
95,11,1957,38.90,7.29,70.57
96,12,1957,74.89,3.94,74.00
97,1,1958,108.90,2.84,79.31
98,2,1958,43.63,5.37,67.07
99,3,1958,86.94,8.13,67.08
100,4,1958,42.98,11.60,55.81
101,5,1958,39.66,16.37,51.64
102,6,1958,58.79,19.78,51.63
103,7,1958,3.67,22.58,46.41
104,8,1958,1.28,23.03,40.62
105,9,1958,18.04,17.32,53.78
106,10,1958,11.80,11.96,53.58
107,11,1958,10.67,7.06,63.11
108,12,1958,63.88,3.56,77.79
109,1,1959,55.20,2.73,78.54
110,2,1959,28.60,-4.27,77.92
111,3,1959,11.40,4.81,72.43
112,4,1959,40.60,12.10,58.10
113,5,1959,6.20,16.80,57.00
114,6,1959,32.60,20.30,57.40
115,7,1959,4.80,23.00,51.10
116,8,1959,7.80,21.70,48.97
117,9,1959,6.60,15.80,51.70
118,10,1959,40.50,9.50,69.60
119,11,1959,27.40,6.50,76.90
120,12,1959,21.30,5.40,74.40
121,1,1960,27.30,3.40,76.10
122,2,1960,29.50,2.90,76.60
123,3,1960,67.70,5.30,81.20
124,4,1960,67.60,10.80,75.60
125,5,1960,26.30,16.80,57.90
126,6,1960,34.90,18.10,55.40
127,7,1960,1.80,22.30,47.00
128,8,1960,4.90,20.80,50.80
129,9,1960,3.40,18.10,62.50
130,10,1960,3.10,14.50,59.80
131,11,1960,22.30,9.60,77.30
132,12,1960,29.60,6.30,75.80
133,1,1961,21.40,1.00,80.50
134,2,1961,61.80,1.60,83.90
135,3,1961,25.30,4.10,65.80
136,4,1961,4.90,12.30,58.80
137,5,1961,28.90,17.40,59.00
138,6,1961,17.70,20.80,53.50
139,7,1961,0.00,23.30,47.80
140,8,1961,0.30,22.80,50.90
141,9,1961,5.90,14.40,52.80
142,10,1961,34.30,11.90,59.60
143,11,1961,21.60,8.00,70.00
144,12,1961,92.90,5.20,84.30
145,1,1962,9.80,1.60,84.30
146,2,1962,58.80,1.80,81.80
147,3,1962,26.10,8.80,66.70
148,4,1962,27.70,10.70,68.40
149,5,1962,2.30,17.00,58.70
150,6,1962,0.00,21.50,42.20
151,7,1962,0.00,24.10,36.80
152,8,1962,0.30,24.20,35.10
153,9,1962,9.30,18.10,44.20
154,10,1962,59.60,12.70,70.40
155,11,1962,4.10,9.90,68.00
156,12,1962,55.40,6.50,81.10
157,1,1963,53.70,4.10,78.40
158,2,1963,48.40,5.60,80.10
159,3,1963,41.10,3.70,77.50
160,4,1963,25.60,10.10,72.10
161,5,1963,64.20,14.10,76.20
162,6,1963,23.30,19.20,63.10
163,7,1963,2.40,22.40,49.70
164,8,1963,0.00,21.90,43.20
165,9,1963,10.70,17.80,57.20
166,10,1963,11.70,13.40,67.30
167,11,1963,17.50,6.90,70.20
168,12,1963,26.20,2.70,68.90
169,1,1964,19.90,-7.50,63.50
170,2,1964,27.90,1.40,77.70
171,3,1964,39.10,7.00,70.80
172,4,1964,22.30,9.70,52.70
173,5,1964,49.10,14.30,64.50
174,6,1964,76.50,18.90,61.50
175,7,1964,2.30,22.60,48.70
