,Month,Year,P,Tmean,RH
1,1,1950,38.70,-3.46,76.71
2,2,1950,26.83,-0.86,77.52
3,3,1950,38.71,5.05,72.41
4,4,1950,34.34,14.06,57.13
5,5,1950,98.29,14.54,72.04
6,6,1950,20.20,17.82,54.78
7,7,1950,1.49,20.83,47.52
8,8,1950,2.64,19.94,45.87
9,9,1950,0.00,18.72,46.56
10,10,1950,25.53,9.72,62.86
11,11,1950,12.96,5.52,66.40
12,12,1950,21.87,5.39,76.02
13,1,1951,26.52,1.16,75.21
14,2,1951,24.70,3.48,70.27
15,3,1951,48.68,8.40,66.58
16,4,1951,35.45,11.24,59.59
17,5,1951,33.38,14.99,60.08
18,6,1951,49.40,17.93,54.64
19,7,1951,16.39,21.40,46.73
20,8,1951,2.08,21.93,48.17
21,9,1951,11.25,17.32,51.45
22,10,1951,54.77,8.96,76.67
23,11,1951,35.50,7.22,76.41
24,12,1951,23.39,-1.11,83.36
25,1,1952,22.26,2.26,78.97
26,2,1952,30.75,3.68,75.56
27,3,1952,48.07,4.23,70.80
28,4,1952,26.07,10.12,59.33
29,5,1952,53.55,13.51,60.28
30,6,1952,32.57,16.69,58.20
31,7,1952,12.60,21.16,49.50
32,8,1952,11.59,21.96,46.81
33,9,1952,0.84,19.78,44.36
34,10,1952,5.99,13.00,57.28
35,11,1952,42.30,6.39,74.22
36,12,1952,46.43,5.40,81.73
37,1,1953,57.46,3.18,76.88
38,2,1953,52.89,2.95,71.32
39,3,1953,45.18,-0.51,74.39
40,4,1953,27.13,10.04,62.44
41,5,1953,44.76,13.83,59.25
42,6,1953,22.94,19.08,53.67
43,7,1953,2.25,21.56,46.88
44,8,1953,1.20,21.21,46.06
45,9,1953,14.78,15.79,47.45
46,10,1953,14.09,11.23,60.73
47,11,1953,32.29,1.98,79.13
48,12,1953,21.97,-3.99,81.07
49,1,1954,53.60,-0.65,79.55
50,2,1954,42.04,1.45,82.53
51,3,1954,32.67,7.01,72.69
52,4,1954,36.40,8.75,67.44
53,5,1954,21.52,14.66,56.12
54,6,1954,24.16,20.04,52.46
55,7,1954,3.42,23.62,41.67
56,8,1954,8.28,22.21,41.21
57,9,1954,3.55,17.19,49.41
58,10,1954,9.90,12.26,52.58
59,11,1954,26.46,7.12,70.08
60,12,1954,75.62,2.12,80.88
61,1,1955,22.31,3.58,78.88
62,2,1955,20.78,7.18,61.25
63,3,1955,29.21,7.02,64.33
64,4,1955,43.02,9.51,59.83
65,5,1955,32.07,15.11,53.18
66,6,1955,1.58,20.23,36.32
67,7,1955,4.96,21.64,41.07
68,8,1955,2.84,20.13,45.35
69,9,1955,11.78,16.99,50.84
70,10,1955,13.58,12.91,54.36
71,11,1955,27.96,6.80,69.21
72,12,1955,36.33,2.76,75.38
73,1,1956,27.09,1.29,76.17
74,2,1956,61.52,2.20,75.03
75,3,1956,24.85,1.87,65.31
76,4,1956,10.39,11.02,47.76
77,5,1956,31.13,13.37,55.25
78,6,1956,6.31,19.28,41.22
79,7,1956,2.90,21.97,36.61
80,8,1956,4.32,22.20,35.71
81,9,1956,6.19,14.65,42.03
82,10,1956,7.42,9.34,46.11
83,11,1956,20.49,4.32,64.32
84,12,1956,34.31,0.15,78.92
85,1,1957,21.58,-2.31,79.25
86,2,1957,28.44,3.81,72.51
87,3,1957,34.16,5.29,59.84
88,4,1957,31.55,10.65,54.88
89,5,1957,53.32,14.32,64.53
90,6,1957,40.71,18.82,52.04
91,7,1957,6.70,22.49,35.40
92,8,1957,0.87,22.83,34.55
93,9,1957,18.38,18.89,45.23
94,10,1957,17.34,12.85,58.20
95,11,1957,23.84,6.56,70.56
96,12,1957,27.44,3.37,71.34
97,1,1958,55.30,2.45,79.25
98,2,1958,14.78,4.28,63.80
99,3,1958,44.08,7.45,64.14
100,4,1958,36.36,10.64,54.97
101,5,1958,37.78,15.22,52.73
102,6,1958,51.65,18.39,51.13
103,7,1958,4.59,21.43,41.92
104,8,1958,2.17,21.52,37.43
105,9,1958,11.80,15.94,48.02
106,10,1958,8.00,10.70,51.05
107,11,1958,10.15,5.72,61.29
108,12,1958,42.19,3.19,75.46
109,1,1959,68.96,2.01,75.09
110,2,1959,16.12,-4.63,71.91
111,3,1959,11.21,4.05,70.37
112,4,1959,28.28,10.46,59.26
113,5,1959,19.77,15.18,56.68
114,6,1959,30.33,18.14,52.62
