,Month,Year,P,Tmean,RH
1,1,1950,38.90,-4.20,77.70
2,2,1950,5.80,-0.70,73.30
3,3,1950,29.30,5.30,66.70
4,4,1950,23.60,14.30,52.10
5,5,1950,100.60,14.80,72.30
6,6,1950,25.10,18.20,58.40
7,7,1950,1.90,21.10,46.90
8,8,1950,0.80,20.90,39.50
9,9,1950,0.00,20.10,42.20
10,10,1950,27.70,10.40,60.20
11,11,1950,12.40,6.20,65.80
12,12,1950,20.50,3.70,76.90
13,1,1951,36.20,0.80,77.40
14,2,1951,26.60,4.30,71.20
15,3,1951,47.80,8.30,67.80
16,4,1951,41.90,11.80,56.70
17,5,1951,21.90,16.40,54.60
18,6,1951,45.30,19.20,53.10
19,7,1951,35.60,22.30,42.50
20,8,1951,17.30,23.20,41.30
21,9,1951,3.60,18.50,45.10
22,10,1951,78.60,9.30,75.40
23,11,1951,36.60,6.80,72.70
24,12,1951,16.20,-1.90,80.60
25,1,1952,11.60,1.70,77.00
26,2,1952,7.60,3.40,70.80
27,3,1952,46.10,4.60,66.50
28,4,1952,24.20,11.20,55.90
29,5,1952,43.40,14.80,57.30
30,6,1952,38.60,18.20,56.00
31,7,1952,12.70,22.30,46.60
32,8,1952,20.10,23.30,44.00
33,9,1952,0.00,20.90,40.90
34,10,1952,4.70,13.90,55.60
35,11,1952,61.90,7.30,78.20
36,12,1952,65.90,4.60,84.20
37,1,1953,46.00,2.90,77.80
38,2,1953,46.90,2.60,69.50
39,3,1953,33.70,0.00,68.00
40,4,1953,15.30,11.00,55.20
41,5,1953,48.10,15.30,51.50
42,6,1953,13.60,19.60,48.90
43,7,1953,0.00,22.80,35.60
44,8,1953,0.00,23.10,37.30
45,9,1953,3.20,17.10,39.20
46,10,1953,20.30,12.30,54.30
47,11,1953,34.20,2.60,74.80
48,12,1953,10.40,-5.10,79.10
49,1,1954,33.60,-1.90,82.60
50,2,1954,43.50,0.20,82.40
51,3,1954,33.50,7.10,67.10
52,4,1954,33.70,9.20,57.00
53,5,1954,11.30,16.20,47.60
54,6,1954,29.30,20.90,46.40
55,7,1954,0.00,24.70,32.70
56,8,1954,0.20,24.20,29.20
57,9,1954,0.00,18.90,35.90
58,10,1954,1.90,12.80,48.80
59,11,1954,16.10,6.90,74.50
60,12,1954,67.90,2.90,82.10
61,1,1955,12.40,3.30,81.90
62,2,1955,15.20,7.20,62.60
63,3,1955,25.60,7.00,64.20
64,4,1955,29.30,9.40,58.30
65,5,1955,33.60,16.90,51.20
66,6,1955,1.40,22.10,35.30
67,7,1955,3.50,24.10,40.20
68,8,1955,3.10,22.60,41.50
69,9,1955,21.50,18.80,48.20
70,10,1955,3.20,15.50,53.80
71,11,1955,17.70,6.70,70.60
72,12,1955,28.80,2.40,78.50
73,1,1956,31.10,1.20,79.40
74,2,1956,85.90,0.80,77.50
75,3,1956,8.30,2.20,64.30
76,4,1956,2.20,12.30,46.90
77,5,1956,30.90,14.40,54.70
78,6,1956,1.50,20.40,38.40
79,7,1956,0.00,23.50,30.30
80,8,1956,0.90,24.70,31.20
81,9,1956,4.70,16.00,32.70
82,10,1956,13.80,10.30,44.60
83,11,1956,31.90,5.10,65.30
84,12,1956,29.80,-1.90,77.20
85,1,1957,8.20,-2.20,79.50
86,2,1957,28.00,3.40,70.00
87,3,1957,27.00,6.20,56.10
88,4,1957,28.70,11.80,48.20
89,5,1957,63.30,14.80,55.80
90,6,1957,69.70,19.90,48.60
91,7,1957,2.40,24.30,36.90
92,8,1957,0.00,24.20,34.10
93,9,1957,27.60,20.60,46.60
94,10,1957,23.80,13.70,58.20
95,11,1957,39.10,5.50,70.90
96,12,1957,16.20,2.30,76.20
97,1,1958,47.30,1.80,81.20
98,2,1958,10.10,3.70,66.50
99,3,1958,39.00,6.90,65.00
100,4,1958,17.10,10.80,59.30
101,5,1958,44.20,15.90,53.70
102,6,1958,54.50,19.20,48.80
103,7,1958,0.10,22.50,38.00
104,8,1958,0.00,22.80,34.80
105,9,1958,6.70,17.30,52.10
106,10,1958,2.60,11.70,49.40
107,11,1958,20.30,5.90,63.30
108,12,1958,31.90,3.30,83.90
109,1,1959,60.20,1.80,83.60
110,2,1959,0.70,-4.60,72.60
111,3,1959,15.50,4.00,72.50
112,4,1959,23.20,11.20,59.30
113,5,1959,14.70,16.30,52.80
114,6,1959,23.00,19.70,50.70
115,7,1959,3.80,23.20,46.10
116,8,1959,3.50,21.60,39.90
117,9,1959,5.20,15.60,46.10
118,10,1959,27.20,9.20,58.50
119,11,1959,26.50,5.00,78.60
120,12,1959,19.50,3.70,85.20
121,1,1960,21.50,2.00,79.80
122,2,1960,17.30,0.30,78.10
123,3,1960,56.60,4.70,78.70
124,4,1960,25.40,10.60,68.80
125,5,1960,37.10,16.40,59.30
126,6,1960,44.10,18.40,58.30
127,7,1960,3.50,23.10,43.80
128,8,1960,0.10,21.50,49.80
129,9,1960,11.70,18.00,52.20
130,10,1960,11.70,14.00,57.50
131,11,1960,6.10,8.30,70.40
132,12,1960,22.20,3.20,73.20
133,1,1961,14.70,-0.50,77.20
134,2,1961,76.70,0.80,77.60
135,3,1961,43.40,3.70,64.00
136,4,1961,5.60,12.10,52.90
137,5,1961,7.30,16.90,46.70
138,6,1961,5.80,20.70,48.90
139,7,1961,0.10,23.30,38.80
140,8,1961,0.00,22.70,40.00
141,9,1961,5.50,14.60,58.40
142,10,1961,21.30,11.60,61.50
143,11,1961,26.60,7.00,67.00
144,12,1961,69.80,3.80,79.70
145,1,1962,8.60,1.20,80.30
146,2,1962,36.70,1.20,79.00
147,3,1962,14.50,7.60,60.60
148,4,1962,20.20,10.20,60.80
149,5,1962,49.30,16.40,48.40
150,6,1962,0.00,21.10,38.20
151,7,1962,0.00,24.30,36.80
152,8,1962,0.00,25.00,28.10
153,9,1962,13.90,18.60,38.90
154,10,1962,44.00,12.20,71.10
155,11,1962,2.60,9.60,68.60
156,12,1962,56.40,4.80,78.20
157,1,1963,40.30,3.00,78.70
158,2,1963,25.90,4.70,75.90
159,3,1963,16.50,3.00,68.50
160,4,1963,40.50,9.50,64.40
161,5,1963,122.20,13.90,69.20
162,6,1963,32.40,18.70,56.60
163,7,1963,7.90,22.40,43.40
164,8,1963,0.00,23.00,31.70
165,9,1963,5.70,18.00,46.20
166,10,1963,39.40,13.20,60.30
167,11,1963,32.20,6.90,68.20
168,12,1963,9.20,2.30,64.00
169,1,1964,8.70,-5.90,60.20
170,2,1964,51.70,1.10,73.50
171,3,1964,50.30,7.10,65.20
172,4,1964,2.80,9.80,42.70
173,5,1964,32.60,14.50,51.90
174,6,1964,60.50,18.70,56.00
175,7,1964,2.50,23.10,37.00
176,8,1964,1.60,21.60,39.10
177,9,1964,0.20,16.90,42.20
178,10,1964,4.60,13.00,42.90
179,11,1964,38.20,6.60,61.50
180,12,1964,64.20,3.20,80.20
181,1,1965,36.60,1.30,77.40
182,2,1965,42.90,0.20,75.60
183,3,1965,20.90,6.70,59.60
184,4,1965,23.10,10.30,60.30
185,5,1965,32.00,14.60,54.20
186,6,1965,13.60,20.60,43.80
187,7,1965,3.40,23.50,35.50
188,8,1965,2.90,23.40,35.40
189,9,1965,0.00,18.70,34.50
190,10,1965,13.60,8.80,54.90
191,11,1965,16.50,6.40,66.00
192,12,1965,59.90,2.90,83.40
193,1,1966,65.80,2.20,80.60
194,2,1966,22.30,5.60,69.80
195,3,1966,37.00,6.40,64.80
196,4,1966,20.50,11.70,57.50
197,5,1966,21.30,15.10,52.90
198,6,1966,6.80,20.30,39.60
199,7,1966,11.40,24.00,35.50
200,8,1966,11.90,24.50,36.00
201,9,1966,32.10,17.80,45.30
202,10,1966,0.00,14.70,50.70
203,11,1966,12.80,10.30,65.20
204,12,1966,88.80,2.80,80.70
205,1,1967,20.10,-1.00,76.00
