,Month,Year,P,Tmean,RH
1,1,1950,62.80,-3.32,74.49
2,2,1950,35.93,-0.70,76.01
3,3,1950,61.27,3.82,74.02
4,4,1950,46.35,12.91,55.72
5,5,1950,118.56,13.36,65.58
6,6,1950,33.00,16.49,51.58
7,7,1950,2.16,19.35,42.95
8,8,1950,3.75,18.52,40.16
9,9,1950,1.81,17.74,41.96
10,10,1950,32.35,9.23,56.60
11,11,1950,20.42,4.78,66.88
12,12,1950,36.29,4.10,78.02
13,1,1951,31.16,0.59,73.61
14,2,1951,33.13,2.50,70.25
15,3,1951,91.44,6.62,70.62
16,4,1951,36.62,10.38,60.72
17,5,1951,37.02,14.00,60.48
18,6,1951,69.74,16.50,56.17
19,7,1951,30.12,19.54,48.06
20,8,1951,6.76,20.58,45.76
21,9,1951,11.05,16.39,48.69
22,10,1951,66.34,7.71,74.28
23,11,1951,37.15,6.57,77.77
24,12,1951,33.76,-0.24,84.29
25,1,1952,49.11,2.21,82.22
26,2,1952,61.24,2.92,78.32
27,3,1952,62.24,3.45,69.67
28,4,1952,23.69,9.05,54.87
29,5,1952,68.43,12.17,59.92
30,6,1952,42.31,15.47,57.93
31,7,1952,16.98,19.43,52.40
32,8,1952,4.98,20.80,45.82
33,9,1952,4.57,18.44,40.87
34,10,1952,17.44,12.10,58.04
35,11,1952,58.53,6.21,78.62
36,12,1952,36.63,4.96,84.33
37,1,1953,83.02,2.30,80.33
38,2,1953,65.44,1.85,73.13
39,3,1953,50.83,-0.93,72.08
40,4,1953,26.78,9.08,61.14
41,5,1953,71.26,12.30,64.94
42,6,1953,41.40,17.52,58.68
43,7,1953,0.95,20.03,46.14
44,8,1953,0.00,19.63,45.56
45,9,1953,18.83,14.33,49.23
46,10,1953,18.22,10.46,60.21
47,11,1953,30.97,1.69,72.48
48,12,1953,28.61,-3.13,75.34
49,1,1954,78.32,-2.23,81.63
50,2,1954,55.22,0.68,80.90
51,3,1954,41.53,5.96,72.94
52,4,1954,45.44,7.42,66.00
53,5,1954,41.33,13.36,56.45
54,6,1954,25.15,18.85,53.19
55,7,1954,3.35,22.14,39.72
56,8,1954,10.75,20.79,36.72
57,9,1954,6.50,15.98,46.78
58,10,1954,5.69,11.74,53.14
59,11,1954,27.55,7.06,72.49
60,12,1954,82.67,1.90,81.20
61,1,1955,39.52,2.78,80.54
62,2,1955,39.59,6.39,69.34
63,3,1955,29.10,6.44,66.46
64,4,1955,56.57,8.20,63.23
65,5,1955,35.74,14.21,57.34
66,6,1955,0.33,19.20,42.40
67,7,1955,17.28,20.62,46.90
68,8,1955,9.49,19.07,49.13
69,9,1955,20.05,15.84,53.78
70,10,1955,34.55,12.14,60.34
71,11,1955,51.22,6.10,73.76
72,12,1955,42.13,2.36,81.08
73,1,1956,34.63,-0.33,83.23
74,2,1956,82.54,0.49,81.39
75,3,1956,28.35,0.74,72.14
76,4,1956,8.30,9.87,50.45
77,5,1956,33.14,12.52,57.61
78,6,1956,11.59,18.42,45.99
79,7,1956,0.00,20.82,38.49
80,8,1956,3.82,21.16,37.03
81,9,1956,4.15,13.96,42.67
82,10,1956,5.24,9.05,45.84
83,11,1956,29.82,4.22,66.41
84,12,1956,35.27,0.99,79.83
85,1,1957,24.02,-2.06,78.47
86,2,1957,25.20,3.42,73.31
87,3,1957,46.90,4.01,60.94
88,4,1957,39.91,10.20,53.96
89,5,1957,83.77,13.53,63.32
90,6,1957,47.06,18.04,52.30
91,7,1957,9.74,21.56,36.99
92,8,1957,0.00,22.18,36.97
93,9,1957,41.78,18.08,51.83
94,10,1957,16.96,12.35,59.12
95,11,1957,25.57,6.50,71.35
96,12,1957,48.45,3.06,77.45
97,1,1958,80.07,1.49,82.50
98,2,1958,17.32,4.07,69.99
99,3,1958,82.35,6.56,69.12
100,4,1958,47.94,9.56,60.02
101,5,1958,50.08,14.12,57.42
102,6,1958,69.47,17.11,54.64
103,7,1958,4.69,20.15,44.75
104,8,1958,0.69,20.48,38.61
105,9,1958,18.28,14.99,53.57
106,10,1958,15.11,10.19,60.32
107,11,1958,6.24,5.54,67.09
108,12,1958,47.29,2.82,82.86
109,1,1959,107.49,1.25,83.11
110,2,1959,15.71,-4.87,73.98
111,3,1959,4.92,4.10,68.99
112,4,1959,27.58,9.54,59.18
113,5,1959,26.51,14.08,57.64
114,6,1959,50.59,16.81,54.53
115,7,1959,11.88,19.84,48.82
116,8,1959,19.96,18.45,44.57
117,9,1959,1.24,13.20,52.34
118,10,1959,13.33,7.70,62.39
119,11,1959,16.90,5.38,74.87
120,12,1959,49.17,4.11,80.67
121,1,1960,26.37,2.75,77.81
122,2,1960,35.57,1.01,74.72
123,3,1960,55.46,3.44,74.25
124,4,1960,48.52,8.77,68.66
125,5,1960,42.12,14.63,59.47
126,6,1960,42.01,16.17,59.66
127,7,1960,5.18,20.73,51.50
128,8,1960,2.02,18.91,51.65
129,9,1960,12.03,15.68,55.89
130,10,1960,10.09,12.81,60.95
131,11,1960,26.18,8.55,76.69
132,12,1960,40.88,4.38,86.75
133,1,1961,41.91,-0.32,84.45
134,2,1961,86.64,0.12,79.65
135,3,1961,36.35,2.99,67.97
136,4,1961,17.82,10.96,59.50
137,5,1961,29.44,15.75,54.94
138,6,1961,65.93,18.54,54.65
139,7,1961,0.60,20.87,45.92
140,8,1961,0.00,20.24,44.24
141,9,1961,8.62,13.19,51.46
142,10,1961,18.26,10.90,63.03
143,11,1961,4.27,7.13,70.80
144,12,1961,80.29,3.38,81.45
145,1,1962,21.39,0.68,80.53
146,2,1962,41.78,1.24,78.44
147,3,1962,28.35,8.02,64.95
148,4,1962,23.57,9.50,60.57
149,5,1962,52.24,14.78,55.37
150,6,1962,0.15,18.64,47.29
151,7,1962,0.03,21.91,37.52
152,8,1962,1.31,21.99,37.01
153,9,1962,14.43,16.72,45.94
154,10,1962,58.29,12.31,70.09
155,11,1962,12.06,9.93,70.59
156,12,1962,95.59,4.76,82.31
157,1,1963,87.01,2.44,78.47
158,2,1963,44.79,3.65,75.56
159,3,1963,30.98,2.34,71.87
160,4,1963,60.62,9.00,67.15
161,5,1963,76.38,12.95,74.33
162,6,1963,50.22,17.10,62.80
163,7,1963,13.83,20.42,51.03
164,8,1963,0.00,20.55,46.70
165,9,1963,18.16,16.51,57.88
166,10,1963,29.68,11.94,64.99
167,11,1963,4.76,6.33,69.98
168,12,1963,28.69,2.36,74.48
169,1,1964,2.11,-4.14,66.93
170,2,1964,65.26,-0.59,79.29
171,3,1964,71.04,6.26,71.26
172,4,1964,14.82,7.97,56.89
173,5,1964,28.99,12.86,57.17
174,6,1964,77.47,17.59,62.38
175,7,1964,3.27,21.18,49.28
176,8,1964,0.74,20.25,49.58
177,9,1964,7.84,15.48,53.44
178,10,1964,0.00,12.15,48.73
179,11,1964,37.09,6.04,65.59
180,12,1964,63.73,3.03,77.18
181,1,1965,23.45,0.70,76.90
182,2,1965,56.50,-0.36,78.82
183,3,1965,51.09,5.23,64.74
184,4,1965,44.66,8.23,62.96
185,5,1965,34.18,12.86,59.54
186,6,1965,28.31,18.78,48.85
187,7,1965,2.47,20.80,44.73
188,8,1965,7.98,20.82,46.26
189,9,1965,0.00,17.44,46.14
190,10,1965,15.56,8.37,58.83
191,11,1965,58.52,5.54,69.18
192,12,1965,57.59,2.53,84.95
193,1,1966,113.85,1.48,83.44
194,2,1966,6.03,3.63,70.15
195,3,1966,50.88,4.81,68.71
196,4,1966,46.56,10.58,64.52
197,5,1966,40.77,13.32,57.40
198,6,1966,19.97,18.04,53.00
199,7,1966,22.27,22.03,46.83
200,8,1966,11.34,22.94,47.85
201,9,1966,0.89,16.75,50.64
202,10,1966,5.72,13.37,51.25
203,11,1966,28.32,9.25,69.43
204,12,1966,76.99,2.34,81.28
205,1,1967,34.43,-2.57,76.40
206,2,1967,23.76,-3.70,75.20
207,3,1967,52.81,2.49,70.13
208,4,1967,73.92,8.28,66.49
209,5,1967,74.26,13.55,63.87
210,6,1967,14.10,17.14,50.73
211,7,1967,1.96,20.69,44.64
212,8,1967,1.87,20.20,45.00
213,9,1967,4.68,15.77,50.13
214,10,1967,12.40,11.16,57.82
215,11,1967,60.32,4.46,77.06
216,12,1967,38.97,2.73,78.97
217,1,1968,78.58,-1.75,79.91
218,2,1968,32.62,0.14,80.43
219,3,1968,67.46,2.92,68.85
220,4,1968,25.91,11.66,55.97
221,5,1968,49.87,16.46,57.27
222,6,1968,40.79,17.44,53.44
223,7,1968,1.95,21.90,41.61
224,8,1968,15.91,20.09,45.74
225,9,1968,29.76,16.12,54.92
226,10,1968,24.12,10.34,67.60
227,11,1968,55.5,6.6,73.1
228,12,1968,71.1,2.7,86.7
229,1,1969,77.6,-0.1,81.3
230,2,1969,91.2,0.6,80.2
231,3,1969,47.6,5.5,72.5
232,4,1969,38,6.6,61
233,5,1969,92,15.4,56.7
234,6,1969,30.9,19.8,39.2
235,7,1969,1.8,20.2,33.4
236,8,1969,8.3,22.5,25.5
237,9,1969,14.1,17.7,35.7
238,10,1969,9.6,10.8,52.3
239,11,1969,57.2,4.9,58.7
240,12,1969,96.8,3.8,79.3
241,1,1970,122.3,3.1,79.4
242,2,1970,143.4,3.4,74.3
243,3,1970,75.5,5.9,66.1
244,4,1970,25.5,11.6,49.8
245,5,1970,52.1,14.1,46.7
246,6,1970,30.4,18.7,42.7
247,7,1970,9.8,23.1,34.4
248,8,1970,0,20.5,34.9
249,9,1970,18.9,16.4,43.1
250,10,1970,86.7,9.3,62.2
251,11,1970,87.2,6,74.7
252,12,1970,81.8,-0.2,79.9
253,1,1971,41.6,1.4,83.6
254,2,1971,44.2,0.8,82.9
255,3,1971,44,5,73.2
256,4,1971,45.4,8.4,70.4
257,5,1971,46.9,14.2,58.5
258,6,1971,32.1,18.2,43.1
259,7,1971,0,22,34.6
260,8,1971,9.5,21.2,37.6
261,9,1971,1.7,17.9,38.9
262,10,1971,9.6,8.8,51.5
263,11,1971,36.7,5.5,70.4
264,12,1971,21.8,-0.1,72.1
265,1,1972,23.7,-6.9,72.5
266,2,1972,32.2,-5.2,78.7
267,3,1972,8.1,4,56.5
268,4,1972,33.6,11.2,59.3
269,5,1972,24.3,14.6,46.9
270,6,1972,47.3,18.9,51.9
271,7,1972,26.5,23,45
272,8,1972,18.8,21.6,47.9
273,9,1972,20.1,17.5,56.4
274,10,1972,35.8,11.4,66
275,11,1972,11.1,3.5,67.6
276,12,1972,14.2,-3.2,71.4
277,1,1973,8.5,-4.6,81.9
278,2,1973,9.1,3.2,63.8
279,3,1973,21.6,2.4,62.5
280,4,1973,54.9,8.5,64.5
281,5,1973,71.2,14.5,59.6
282,6,1973,4.8,17.5,49.7
283,7,1973,7.6,22,41
284,8,1973,4.2,20.4,49.3
285,9,1973,0.5,17.9,43.9
286,10,1973,2.1,11.2,58.3
287,11,1973,10.6,2.1,70.8
288,12,1973,23.6,-0.5,89.6
289,1,1974,24.5,-7,79.4
290,2,1974,17.1,-0.8,73.2
291,3,1974,39.2,5.7,64.1
292,4,1974,22.5,7.9,60.5
293,5,1974,71.1,13.5,62.3
294,6,1974,33.1,19.6,66.7
295,7,1974,3,21.5,63
