,Month,Year,P,Tmean,RH
1,1,1950,123.36,-2.22,74.87
2,2,1950,42.05,0.97,71.75
3,3,1950,102.55,5.37,72.50
4,4,1950,59.46,13.66,57.26
5,5,1950,154.81,14.23,70.29
6,6,1950,21.09,18.00,53.93
7,7,1950,0.00,21.22,43.01
8,8,1950,0.00,20.59,42.54
9,9,1950,12.93,19.33,47.45
10,10,1950,53.39,10.56,61.44
11,11,1950,46.90,6.26,67.85
12,12,1950,92.30,6.43,75.28
13,1,1951,153.19,1.60,74.11
14,2,1951,80.34,4.00,68.68
15,3,1951,142.73,8.08,65.31
16,4,1951,18.88,11.46,56.05
17,5,1951,42.74,15.30,54.27
18,6,1951,68.49,18.18,54.69
19,7,1951,38.53,21.37,46.08
20,8,1951,11.62,22.20,46.15
21,9,1951,4.89,18.27,48.91
22,10,1951,146.89,10.00,76.92
23,11,1951,97.58,7.89,76.10
24,12,1951,72.02,0.03,80.92
25,1,1952,119.64,3.22,77.42
26,2,1952,154.96,3.93,71.63
27,3,1952,99.70,4.42,69.01
28,4,1952,25.79,10.56,51.78
29,5,1952,81.20,13.90,56.83
30,6,1952,48.30,17.30,55.93
31,7,1952,16.83,21.49,49.06
32,8,1952,17.54,22.64,45.81
33,9,1952,1.54,20.77,44.80
34,10,1952,48.84,13.79,57.14
35,11,1952,191.45,7.30,73.26
36,12,1952,173.48,6.01,81.08
37,1,1953,281.98,2.98,77.56
38,2,1953,138.69,3.19,71.88
39,3,1953,83.54,-0.04,72.57
40,4,1953,48.27,10.29,61.72
41,5,1953,50.95,13.79,60.59
42,6,1953,59.68,18.80,58.54
43,7,1953,0.00,21.95,43.14
44,8,1953,0.00,21.73,43.31
45,9,1953,14.67,16.81,44.36
46,10,1953,22.70,12.27,57.31
47,11,1953,53.41,3.22,74.50
48,12,1953,58.34,-2.00,75.58
49,1,1954,198.12,0.08,77.28
50,2,1954,114.43,2.80,79.29
51,3,1954,58.86,7.91,68.14
52,4,1954,61.02,8.95,63.35
53,5,1954,47.83,14.51,54.48
54,6,1954,3.87,20.21,52.27
55,7,1954,0.00,23.73,41.84
56,8,1954,5.52,22.70,39.23
57,9,1954,11.97,17.76,45.74
58,10,1954,41.19,13.03,53.58
59,11,1954,100.26,7.67,69.70
60,12,1954,254.13,2.32,78.85
61,1,1955,119.23,4.62,79.64
62,2,1955,71.14,7.30,65.49
63,3,1955,63.05,7.63,63.87
64,4,1955,75.42,9.75,60.37
