,Month,Year,P,Tmean,RH
1,1,1950,54.95,-2.30,75.14
2,2,1950,24.03,1.80,71.32
3,3,1950,82.67,4.87,67.71
4,4,1950,60.50,13.23,53.09
5,5,1950,151.79,13.32,69.39
6,6,1950,33.46,16.74,51.17
7,7,1950,4.57,19.30,38.63
8,8,1950,8.32,18.61,37.00
9,9,1950,3.69,17.89,43.43
10,10,1950,28.55,9.92,61.96
11,11,1950,25.33,6.01,66.15
12,12,1950,33.50,6.25,71.37
13,1,1951,51.07,2.33,73.97
14,2,1951,49.98,4.43,71.18
15,3,1951,129.94,7.40,68.84
16,4,1951,48.68,10.78,60.07
17,5,1951,54.28,14.49,54.18
18,6,1951,85.12,16.53,56.25
19,7,1951,67.33,19.34,50.61
20,8,1951,5.88,20.37,44.29
21,9,1951,4.84,16.96,45.38
22,10,1951,98.00,8.67,73.80
23,11,1951,41.16,7.86,75.51
24,12,1951,47.62,1.34,82.06
25,1,1952,43.23,4.20,78.22
26,2,1952,64.41,4.01,74.54
27,3,1952,53.29,4.59,67.63
28,4,1952,43.27,9.36,54.57
29,5,1952,93.01,12.39,58.55
30,6,1952,66.84,16.13,57.02
31,7,1952,28.88,19.36,53.14
32,8,1952,21.34,21.00,45.01
33,9,1952,6.23,19.22,39.00
34,10,1952,31.55,13.22,54.60
35,11,1952,60.51,8.05,73.59
36,12,1952,47.21,6.75,80.92
37,1,1953,105.32,3.70,75.31
38,2,1953,68.37,2.82,67.18
39,3,1953,46.92,0.12,71.73
40,4,1953,34.05,9.36,57.86
41,5,1953,77.42,12.47,61.27
42,6,1953,57.11,17.81,60.67
43,7,1953,1.46,20.40,44.88
44,8,1953,1.69,19.45,46.34
45,9,1953,22.68,14.95,44.76
46,10,1953,16.57,11.37,55.40
47,11,1953,30.69,3.04,72.85
48,12,1953,25.13,-0.98,73.00
49,1,1954,83.70,-0.65,79.41
50,2,1954,55.98,2.35,83.22
51,3,1954,40.65,7.37,69.90
52,4,1954,50.88,7.64,64.06
53,5,1954,47.84,13.58,54.81
54,6,1954,24.73,18.71,53.96
55,7,1954,5.52,21.65,41.93
56,8,1954,12.64,20.65,40.81
57,9,1954,13.89,16.42,47.00
58,10,1954,8.43,12.61,53.51
59,11,1954,32.71,8.45,71.24
60,12,1954,86.63,3.15,80.89
61,1,1955,38.90,5.02,76.90
62,2,1955,36.44,7.56,63.83
63,3,1955,36.41,6.95,64.91
64,4,1955,62.66,8.14,59.41
65,5,1955,45.28,14.50,55.16
66,6,1955,3.09,18.98,39.00
67,7,1955,21.34,20.00,43.93
68,8,1955,16.17,18.92,49.03
69,9,1955,27.20,16.27,51.87
70,10,1955,34.72,13.64,58.08
71,11,1955,70.89,7.43,70.38
72,12,1955,45.60,3.78,76.88
73,1,1956,39.39,1.45,79.71
74,2,1956,102.15,1.62,77.43
75,3,1956,39.84,1.67,65.54
76,4,1956,13.24,10.76,48.22
77,5,1956,46.65,13.03,59.89
78,6,1956,11.23,18.65,45.14
79,7,1956,1.54,20.37,37.94
80,8,1956,3.48,21.15,36.85
81,9,1956,4.69,14.87,39.27
82,10,1956,6.28,10.32,40.39
83,11,1956,24.03,5.67,61.54
84,12,1956,36.47,2.54,78.70
85,1,1957,26.25,0.13,78.48
86,2,1957,26.69,5.55,70.13
87,3,1957,38.12,4.83,59.68
88,4,1957,45.24,10.21,53.79
89,5,1957,89.03,13.83,63.01
90,6,1957,56.75,18.15,53.98
91,7,1957,13.58,21.37,35.27
92,8,1957,4.32,21.73,34.39
93,9,1957,45.28,18.27,52.47
94,10,1957,21.05,13.49,59.35
95,11,1957,36.11,7.38,72.57
96,12,1957,47.69,4.03,74.04
97,1,1958,73.05,2.52,83.79
98,2,1958,21.04,5.37,65.46
99,3,1958,86.29,6.99,68.53
100,4,1958,48.28,9.73,59.12
101,5,1958,51.85,14.23,55.53
102,6,1958,56.54,17.45,54.17
103,7,1958,6.75,19.84,44.76
104,8,1958,1.88,20.31,35.95
105,9,1958,43.83,15.17,53.44
106,10,1958,23.97,11.04,51.91
107,11,1958,11.63,7.29,61.24
108,12,1958,43.20,4.90,76.42
109,1,1959,136.16,2.85,78.09
110,2,1959,18.68,-3.76,72.00
111,3,1959,8.74,4.99,68.57
112,4,1959,17.12,9.89,56.44
113,5,1959,21.62,14.14,60.21
114,6,1959,46.29,17.10,52.99
115,7,1959,28.64,19.44,48.62
116,8,1959,12.66,18.53,44.96
117,9,1959,5.42,13.81,47.47
118,10,1959,32.59,8.77,56.75
119,11,1959,36.07,6.54,70.24
120,12,1959,39.95,6.04,74.09
121,1,1960,60.00,4.12,73.33
122,2,1960,60.54,2.92,70.40
123,3,1960,77.67,4.48,72.09
124,4,1960,48.04,9.42,64.96
125,5,1960,50.06,15.06,54.56
126,6,1960,76.08,16.16,61.22
127,7,1960,8.44,20.35,49.96
128,8,1960,2.92,19.10,48.01
129,9,1960,15.13,15.95,53.84
130,10,1960,18.16,14.34,50.52
131,11,1960,25.65,9.81,71.10
132,12,1960,45.79,6.33,74.91
133,1,1961,29.13,1.47,75.29
134,2,1961,129.34,1.30,75.07
135,3,1961,68.81,3.80,61.61
136,4,1961,26.42,11.45,55.34
137,5,1961,41.51,15.73,50.77
138,6,1961,63.65,18.52,54.84
139,7,1961,17.02,20.46,47.35
140,8,1961,0.13,19.83,42.34
141,9,1961,18.49,13.37,50.91
142,10,1961,34.86,11.46,61.63
143,11,1961,10.44,8.26,65.44
144,12,1961,64.49,4.53,78.16
145,1,1962,28.56,2.44,73.89
146,2,1962,60.82,2.21,74.32
147,3,1962,39.43,8.75,58.52
148,4,1962,44.70,9.26,60.26
149,5,1962,61.15,14.60,50.05
150,6,1962,11.28,17.90,46.37
151,7,1962,3.11,20.63,40.59
152,8,1962,2.72,21.59,36.75
153,9,1962,33.13,17.13,43.95
154,10,1962,73.29,13.20,65.35
155,11,1962,16.93,11.92,60.88
156,12,1962,101.95,5.89,74.69
157,1,1963,85.85,3.20,71.38
158,2,1963,66.01,5.21,67.83
159,3,1963,52.94,3.15,65.01
160,4,1963,83.98,9.26,63.01
161,5,1963,118.27,13.55,69.10
162,6,1963,89.74,17.69,58.12
163,7,1963,43.24,20.27,51.88
164,8,1963,0.09,20.81,43.35
165,9,1963,16.36,17.04,56.47
166,10,1963,51.78,12.89,63.50
167,11,1963,14.89,8.13,64.77
168,12,1963,23.14,3.68,67.44
169,1,1964,6.10,-2.70,65.80
170,2,1964,53.47,0.90,77.07
171,3,1964,88.08,6.85,68.00
172,4,1964,22.85,8.99,50.43
173,5,1964,41.33,12.90,56.61
174,6,1964,93.55,17.48,61.05
175,7,1964,8.09,20.86,46.98
176,8,1964,2.65,20.09,49.55
177,9,1964,13.22,15.95,46.90
178,10,1964,0.00,13.82,40.61
179,11,1964,55.45,7.35,55.60
180,12,1964,84.59,4.72,76.09
181,1,1965,48.10,2.33,77.34
182,2,1965,81.15,0.82,74.91
183,3,1965,36.16,5.94,65.74
184,4,1965,58.27,8.53,63.04
185,5,1965,42.51,13.15,57.51
186,6,1965,22.28,19.29,48.68
187,7,1965,3.46,20.67,48.42
188,8,1965,3.62,20.45,48.78
189,9,1965,0.72,18.57,42.22
190,10,1965,23.13,9.46,56.85
191,11,1965,64.23,7.37,61.89
192,12,1965,67.72,4.12,76.92
193,1,1966,91.51,2.35,80.34
194,2,1966,6.30,5.29,65.33
195,3,1966,68.61,5.56,66.41
196,4,1966,51.07,11.25,60.27
197,5,1966,62.41,13.63,53.87
198,6,1966,27.05,17.90,53.58
199,7,1966,19.31,21.76,50.44
200,8,1966,7.68,22.86,51.05
201,9,1966,16.77,17.33,54.97
202,10,1966,5.66,15.03,52.86
203,11,1966,31.85,11.21,62.53
204,12,1966,89.01,3.55,80.18
205,1,1967,54.75,-0.77,74.98
206,2,1967,44.07,-1.77,76.65
207,3,1967,50.82,3.72,72.41
208,4,1967,83.08,9.13,61.45
209,5,1967,75.05,13.92,62.89
210,6,1967,17.09,17.45,49.69
211,7,1967,15.12,20.55,49.16
212,8,1967,2.94,20.25,47.09
213,9,1967,13.27,16.59,52.32
214,10,1967,20.00,12.59,58.68
215,11,1967,49.47,5.57,71.80
216,12,1967,61.06,4.05,77.01
217,1,1968,94.11,-0.33,76.64
218,2,1968,45.67,2.28,75.54
219,3,1968,109.60,4.25,64.96
220,4,1968,45.24,12.45,52.31
221,5,1968,38.47,17.31,52.32
222,6,1968,37.18,17.77,52.65
223,7,1968,2.16,21.56,39.17
224,8,1968,14.42,20.52,43.66
225,9,1968,42.47,17.06,55.41
226,10,1968,36.66,11.25,66.79
227,11,1968,51.24,7.77,73.09
228,12,1968,85.57,3.67,77.73
229,1,1969,86.21,-0.29,81.81
230,2,1969,62.59,2.46,77.23
231,3,1969,62.29,5.34,71.85
232,4,1969,75.37,6.72,65.05
233,5,1969,69.30,15.39,53.42
234,6,1969,20.01,19.36,40.82
235,7,1969,13.06,18.61,38.97
236,8,1969,5.87,21.55,32.51
237,9,1969,22.31,18.19,40.12
238,10,1969,10.17,11.25,55.56
239,11,1969,45.27,7.46,56.62
240,12,1969,84.66,4.73,72.39
241,1,1970,65.71,3.83,76.56
242,2,1970,42.89,4.71,68.24
243,3,1970,39.49,6.66,60.67
244,4,1970,24.61,12.96,42.95
245,5,1970,21.70,13.93,44.63
246,6,1970,23.55,18.64,42.60
247,7,1970,15.17,22.55,38.38
248,8,1970,18.49,20.68,39.33
249,9,1970,18.64,16.88,44.26
250,10,1970,60.72,10.54,57.36
251,11,1970,31.98,7.81,66.88
252,12,1970,47.82,1.09,76.09
253,1,1971,9.90,4.70,66.49
254,2,1971,48.50,0.90,77.60
255,3,1971,42.90,5.50,57.20
256,4,1971,104.20,8.60,57.80
257,5,1971,70.80,14.80,51.90
258,6,1971,51.40,18.40,45.40
259,7,1971,20.40,21.70,37.20
260,8,1971,34.20,20.70,42.90
261,9,1971,29.20,18.30,43.00
262,10,1971,41.00,9.90,53.00
263,11,1971,29.30,7.10,63.40
264,12,1971,83.40,0.00,83.20
265,1,1972,32.20,-5.00,83.50
266,2,1972,38.20,-3.20,84.30
267,3,1972,14.80,5.30,61.10
268,4,1972,48.60,12.20,49.40
269,5,1972,40.80,15.00,45.50
270,6,1972,69.20,18.40,53.10
271,7,1972,32.70,21.90,43.10
272,8,1972,9.20,21.40,43.50
273,9,1972,20.70,18.10,47.60
274,10,1972,56.20,12.40,58.20
275,11,1972,16.70,5.80,61.30
276,12,1972,4.20,-0.10,70.90
277,1,1973,7.20,-1.60,81.90
278,2,1973,19.60,4.00,61.80
279,3,1973,74.80,2.90,70.30
280,4,1973,64.10,9.20,58.30
281,5,1973,59.80,15.10,50.90
282,6,1973,26.80,17.60,46.50
283,7,1973,12.20,22.30,33.80
284,8,1973,6.40,20.60,38.60
285,9,1973,0.00,19.10,33.60
286,10,1973,24.10,12.80,48.10
287,11,1973,20.40,4.40,59.70
288,12,1973,45.10,1.60,78.79
289,1,1974,35.00,-5.30,88.30
290,2,1974,29.90,1.90,69.50
291,3,1974,67.20,6.40,59.40
292,4,1974,30.90,7.80,55.60
293,5,1974,64.50,13.80,48.50
294,6,1974,31.50,19.80,40.80
295,7,1974,10.50,21.10,34.00
296,8,1974,33.60,20.40,42.40
297,9,1974,16.10,16.80,38.90
298,10,1974,8.20,16.80,39.30
