,Month,Year,P,Tmean,RH
1,1,1950,54.77,-1.77,73.25
2,2,1950,21.82,1.16,71.56
3,3,1950,79.35,5.05,67.99
4,4,1950,58.29,13.56,57.41
5,5,1950,150.62,13.53,71.52
6,6,1950,31.34,16.65,59.23
7,7,1950,3.82,19.28,49.86
8,8,1950,5.78,18.51,48.67
9,9,1950,2.54,17.67,53.48
10,10,1950,29.83,9.59,66.95
11,11,1950,19.98,5.69,70.26
12,12,1950,34.90,5.96,72.14
13,1,1951,48.91,2.20,73.43
14,2,1951,46.55,4.56,71.10
15,3,1951,120.65,7.81,67.49
16,4,1951,40.68,11.07,62.10
17,5,1951,50.74,14.68,59.42
18,6,1951,85.68,16.66,61.13
19,7,1951,55.84,19.44,55.36
20,8,1951,7.34,20.41,52.21
21,9,1951,4.61,16.52,52.70
22,10,1951,97.47,8.37,73.85
23,11,1951,40.32,7.62,72.86
24,12,1951,43.71,0.48,77.37
25,1,1952,40.59,3.99,74.30
26,2,1952,57.01,4.41,70.72
27,3,1952,57.94,4.79,65.10
28,4,1952,40.55,10.05,58.68
29,5,1952,86.15,12.92,62.84
30,6,1952,62.17,15.90,62.38
31,7,1952,22.80,19.55,57.64
32,8,1952,23.05,20.94,54.47
33,9,1952,4.60,18.83,51.54
34,10,1952,24.83,12.71,61.85
35,11,1952,60.96,7.66,73.24
36,12,1952,49.79,6.50,75.94
37,1,1953,97.95,3.68,72.94
38,2,1953,61.84,3.47,66.72
39,3,1953,49.58,0.06,69.96
40,4,1953,29.44,10.01,62.25
41,5,1953,66.65,12.91,64.71
42,6,1953,48.62,17.77,61.05
43,7,1953,1.05,20.14,49.66
44,8,1953,0.76,19.73,51.60
45,9,1953,19.35,14.74,53.97
46,10,1953,18.21,11.10,62.83
47,11,1953,35.30,2.89,71.30
48,12,1953,24.51,-1.58,73.02
49,1,1954,76.16,-0.28,73.78
50,2,1954,54.15,2.29,75.94
51,3,1954,40.06,7.52,69.39
52,4,1954,47.44,8.32,66.38
53,5,1954,39.45,13.99,61.14
54,6,1954,22.85,19.20,59.76
55,7,1954,3.35,22.09,50.61
56,8,1954,8.93,20.75,49.62
57,9,1954,10.07,16.27,54.39
58,10,1954,7.62,12.10,60.74
59,11,1954,28.55,7.84,70.90
60,12,1954,89.42,2.96,77.90
61,1,1955,36.86,4.64,75.02
62,2,1955,34.19,7.99,62.91
63,3,1955,33.05,7.51,67.88
64,4,1955,55.38,8.71,66.00
65,5,1955,40.23,14.88,61.00
66,6,1955,2.00,19.44,48.88
67,7,1955,15.36,20.58,50.68
68,8,1955,10.88,19.25,54.71
69,9,1955,21.60,16.08,59.05
70,10,1955,26.86,13.02,64.87
71,11,1955,59.54,7.12,72.50
72,12,1955,42.37,3.96,74.26
73,1,1956,37.31,1.51,76.55
74,2,1956,94.49,1.88,74.97
75,3,1956,33.65,1.95,68.08
76,4,1956,10.25,11.05,54.00
77,5,1956,41.39,13.21,62.16
78,6,1956,9.51,18.67,52.06
79,7,1956,1.03,20.95,46.49
80,8,1956,3.93,21.36,46.43
81,9,1956,4.76,14.30,51.60
82,10,1956,7.32,9.74,53.57
83,11,1956,30.02,5.51,67.13
84,12,1956,37.80,2.02,78.89
85,1,1957,24.30,-0.46,77.59
86,2,1957,26.46,5.34,72.25
87,3,1957,39.76,5.17,64.37
88,4,1957,42.58,10.63,60.48
89,5,1957,82.26,13.85,67.44
90,6,1957,56.56,18.07,59.86
91,7,1957,10.74,21.50,47.94
92,8,1957,2.15,22.03,48.09
93,9,1957,32.97,18.11,59.01
94,10,1957,19.59,12.88,64.47
95,11,1957,35.05,7.28,71.18
96,12,1957,41.29,4.30,71.75
97,1,1958,72.65,2.71,77.12
98,2,1958,18.64,5.68,63.21
99,3,1958,73.99,7.63,65.28
100,4,1958,45.04,10.32,62.72
101,5,1958,50.29,14.55,60.88
102,6,1958,59.16,17.50,58.79
103,7,1958,5.41,20.28,51.43
104,8,1958,1.40,20.53,48.36
105,9,1958,31.67,15.11,60.58
106,10,1958,17.13,10.72,61.39
107,11,1958,12.31,6.71,65.27
108,12,1958,40.51,4.60,72.85
109,1,1959,128.28,2.60,72.53
110,2,1959,16.19,-3.64,71.91
111,3,1959,9.13,5.15,70.32
112,4,1959,18.27,10.17,62.42
113,5,1959,12.39,14.47,65.41
114,6,1959,44.81,17.14,60.20
115,7,1959,20.65,19.69,57.72
116,8,1959,12.03,18.41,55.27
117,9,1959,5.13,13.45,57.87
118,10,1959,30.27,8.42,64.61
119,11,1959,31.87,6.30,71.50
120,12,1959,39.24,5.67,73.82
121,1,1960,49.46,4.22,69.85
122,2,1960,51.42,2.86,67.62
123,3,1960,69.41,4.53,70.65
124,4,1960,44.49,9.64,68.37
125,5,1960,47.31,15.04,61.17
126,6,1960,72.74,16.20,65.48
127,7,1960,5.60,20.54,56.76
128,8,1960,0.23,19.04,56.45
129,9,1960,13.56,15.81,64.81
130,10,1960,13.39,13.72,63.89
131,11,1960,24.20,9.39,73.09
132,12,1960,37.22,5.91,72.71
133,1,1961,26.48,1.41,74.86
134,2,1961,131.17,1.42,74.80
135,3,1961,70.44,4.04,66.42
136,4,1961,21.47,11.67,63.72
137,5,1961,36.03,16.20,58.91
138,6,1961,46.62,18.65,61.47
139,7,1961,12.17,20.65,56.13
140,8,1961,0.00,19.89,52.04
141,9,1961,13.34,13.15,58.33
142,10,1961,27.55,11.13,65.80
143,11,1961,12.52,8.57,65.35
144,12,1961,69.12,4.81,74.07
145,1,1962,24.15,2.30,74.41
146,2,1962,49.80,2.48,73.88
147,3,1962,28.88,9.23,59.15
148,4,1962,38.81,9.97,62.84
149,5,1962,62.76,15.19,58.23
150,6,1962,8.70,18.75,51.24
151,7,1962,1.64,21.72,46.29
152,8,1962,0.48,21.99,43.45
153,9,1962,22.81,16.90,51.98
154,10,1962,74.22,12.57,70.51
155,11,1962,13.63,11.07,68.05
156,12,1962,89.63,5.92,73.00
157,1,1963,78.84,3.63,73.29
158,2,1963,54.40,5.41,65.35
159,3,1963,47.44,3.44,69.71
160,4,1963,78.98,9.52,66.93
161,5,1963,109.74,13.38,70.41
162,6,1963,84.50,17.48,61.04
163,7,1963,33.37,20.35,54.46
164,8,1963,0.00,20.67,49.08
165,9,1963,10.28,16.74,59.66
166,10,1963,48.85,12.55,68.15
167,11,1963,15.37,7.67,69.13
168,12,1963,24.77,3.96,68.03
169,1,1964,7.32,-3.08,69.46
170,2,1964,57.56,0.89,74.81
171,3,1964,86.09,7.26,68.70
172,4,1964,21.05,8.77,57.82
173,5,1964,43.64,13.29,64.39
174,6,1964,73.66,17.63,66.36
175,7,1964,3.70,21.37,55.92
176,8,1964,2.11,20.36,56.44
177,9,1964,6.68,15.56,55.97
178,10,1964,1.20,12.96,55.65
179,11,1964,50.04,7.06,63.52
180,12,1964,78.96,4.88,75.66
181,1,1965,45.63,2.31,74.06
182,2,1965,72.07,1.12,70.15
183,3,1965,33.67,6.46,65.25
184,4,1965,46.46,9.49,61.42
185,5,1965,33.57,13.56,60.01
186,6,1965,25.22,19.29,55.32
187,7,1965,2.46,20.82,55.15
188,8,1965,5.49,20.56,55.22
189,9,1965,0.00,17.60,52.72
190,10,1965,24.84,8.87,62.12
191,11,1965,59.26,7.07,66.85
192,12,1965,69.47,4.26,75.31
193,1,1966,106.27,2.66,75.10
194,2,1966,9.47,4.72,66.48
195,3,1966,56.17,5.84,66.65
196,4,1966,41.66,11.47,62.14
197,5,1966,41.57,13.91,60.95
198,6,1966,17.33,18.29,58.51
199,7,1966,16.20,22.09,53.82
200,8,1966,10.91,22.80,53.25
201,9,1966,12.11,16.79,59.33
202,10,1966,6.74,14.17,59.64
203,11,1966,29.86,10.59,67.30
204,12,1966,94.24,3.64,76.68
205,1,1967,51.00,-0.82,73.63
206,2,1967,33.23,-1.77,74.00
207,3,1967,49.39,3.79,70.70
208,4,1967,78.08,9.40,65.36
209,5,1967,71.01,14.16,66.37
210,6,1967,13.16,17.56,58.52
211,7,1967,10.54,20.59,54.46
212,8,1967,2.58,20.33,55.57
213,9,1967,13.49,16.15,59.32
214,10,1967,18.15,11.71,64.83
215,11,1967,57.82,5.36,75.35
216,12,1967,54.70,4.50,72.21
217,1,1968,87.91,0.01,71.77
218,2,1968,50.60,1.96,73.80
219,3,1968,92.01,4.21,66.60
220,4,1968,32.35,12.53,56.20
221,5,1968,22.40,16.80,56.20
222,6,1968,25.10,17.60,56.50
223,7,1968,0.00,22.00,48.10
224,8,1968,4.10,20.30,55.10
225,9,1968,43.80,16.20,62.10
226,10,1968,34.40,10.80,73.30
227,11,1968,48.80,7.30,74.20
228,12,1968,63.30,4.40,73.40
229,1,1969,62.00,-0.40,76.70
230,2,1969,71.40,3.10,74.30
231,3,1969,69.20,6.50,72.80
232,4,1969,62.40,7.40,68.20
233,5,1969,60.50,15.60,68.30
234,6,1969,15.70,20.00,56.30
235,7,1969,5.00,20.10,50.90
236,8,1969,3.00,22.10,49.10
237,9,1969,30.20,17.20,55.80
238,10,1969,12.40,10.90,68.10
239,11,1969,50.80,6.20,69.40
240,12,1969,62.20,5.40,74.40
241,1,1970,60.70,3.60,75.59
242,2,1970,22.90,4.80,66.90
243,3,1970,18.00,6.80,61.90
244,4,1970,15.10,12.80,56.80
245,5,1970,54.50,14.10,56.10
246,6,1970,21.20,18.80,54.50
247,7,1970,5.50,22.10,50.60
248,8,1970,25.80,20.60,49.40
249,9,1970,23.80,16.50,56.50
250,10,1970,40.10,10.50,66.60
251,11,1970,38.90,7.10,73.70
252,12,1970,27.10,0.50,73.80
253,1,1971,10.10,4.40,69.10
254,2,1971,54.80,2.30,71.50
255,3,1971,44.50,6.40,63.90
256,4,1971,60.30,8.90,66.90
257,5,1971,83.00,14.70,64.10
258,6,1971,43.70,18.30,57.80
259,7,1971,9.60,21.90,52.00
260,8,1971,29.30,20.90,55.00
261,9,1971,15.20,17.30,58.60
262,10,1971,18.20,9.40,61.60
263,11,1971,38.20,6.80,68.20
264,12,1971,37.30,0.00,69.80
265,1,1972,10.80,-6.60,72.60
266,2,1972,47.30,-4.80,76.30
267,3,1972,12.50,4.70,63.40
268,4,1972,40.20,11.90,61.00
269,5,1972,25.70,14.50,60.30
270,6,1972,87.00,17.70,64.30
271,7,1972,6.40,22.30,53.10
272,8,1972,16.80,21.00,58.20
273,9,1972,8.70,18.20,58.40
274,10,1972,35.70,12.00,67.00
275,11,1972,9.30,5.30,67.20
276,12,1972,6.40,-2.50,67.10
277,1,1973,4.40,-3.00,72.30
278,2,1973,19.00,4.20,60.80
279,3,1973,55.70,3.10,64.30
280,4,1973,27.80,9.90,59.10
281,5,1973,56.80,15.30,57.90
282,6,1973,20.00,17.90,54.20
283,7,1973,1.10,22.10,48.90
284,8,1973,1.10,20.70,54.20
285,9,1973,0.40,18.40,52.50
286,10,1973,7.50,12.20,55.80
287,11,1973,15.60,4.10,60.10
288,12,1973,45.90,1.50,73.60
289,1,1974,22.40,-4.80,73.60
290,2,1974,12.40,1.80,70.40
291,3,1974,13.90,6.90,65.40
292,4,1974,21.70,9.00,58.90
293,5,1974,30.30,15.10,56.90
