"","Month","Year","PREC","TMean","RH","PET"
"1",1,1950,64.5501112959869,-2.58436954063668,72.0703027177394,0
"2",2,1950,17.2,0.0999999999999996,70.2,0.0713675385576757
"3",3,1950,122.4,4.9,67,14.7718926355576
"4",4,1950,96.6,14.4,54.1,65.5541856943138
"5",5,1950,200.8,14.6,73.6,74.4246384859571
"6",6,1950,26.1,18.5,56.1,101.816484154297
"7",7,1950,8.3,22,43.2,130.326215084812
"8",8,1950,6.7,22,39,122.610542016211
"9",9,1950,6.3,21.1,47.5,102.204267872097
"10",10,1950,29.4,10.8,67.3,39.1798045406895
"11",11,1950,17.5,7.5,72.7,21.2905986197634
"12",12,1950,48.01,6.37468054303312,74.7266771107766,16.9208694792962
"13",1,1951,86.6,3,72.8,6.42710407557849
"14",2,1951,76.6,5.4,70.4,13.6518702911473
"15",3,1951,208.6,8.6,66.5,30.9884986845863
"16",4,1951,25.2,12.4,58.2,53.8354755947925
"17",5,1951,82.9,16.4,56.9,86.7395422715498
"18",6,1951,137.4,18.8,59.6,103.996646949654
"19",7,1951,58.2,22.2,51.2,131.888907792519
"20",8,1951,0,23.4,43.6,132.989213836286
"21",9,1951,3.2,19.8,44.7,93.992897857534
"22",10,1951,145.4,9.2,78,31.7209779664651
"23",11,1951,49.7,7.9,75.1,22.7986297802556
"24",12,1951,68.9,-1.5,81.7,0
"25",1,1952,46.1,2.6,75.9,5.3230668084522
"26",2,1952,76.4,4,67.6,9.19460096582408
"27",3,1952,54.3,5.2,64.9,15.9744615428728
"28",4,1952,64.1,11.9,55.3,50.9948376357921
"29",5,1952,141.4,14.5,60.9,73.7539797329263
"30",6,1952,84.4,17.7,60.6,96.0577243471226
"31",7,1952,22.3,21.7,53.7,127.990618586461
"32",8,1952,54.3,23.6,47.9,134.488304149544
"33",9,1952,3.4,22.3,43.3,109.928000687433
"34",10,1952,32.7,15.2,60.9,61.4528775531839
"35",11,1952,67.5,9.3,73.1,28.2638409459049
"36",12,1952,72.2,6.7,77.1,18.067291511398
"37",1,1953,156.4,3.7,75.9,8.47178811374809
"38",2,1953,56.3,3.6,68.5,8.00325892652391
"39",3,1953,62.3,0.0999999999999996,72.4,0.0877651683849001
"40",4,1953,31.8,11.1,62,46.5284923293586
"41",5,1953,72.5,14.3,66.8,72.417064017757
"42",6,1953,72.2,19.2,61.5,106.920713407052
"43",7,1953,0,22.9,44.9,137.393357781586
"44",8,1953,0.91812164814559,22.0933134978076,49.6244756023539,123.295953788045
"45",9,1953,16.3459608537849,17.1950578789183,51.0122830204677,78.0564909848737
"46",10,1953,20.6515966754704,13.088302736356,59.0882194660797,50.4643559200692
"47",11,1953,38.2922846083517,4.32925384625452,73.215079608127,10.3245332449473
"48",12,1953,30.5214567088184,-1.29717014725262,72.8006994696438,0
