,,
1/1/1950,Jan-50,
2/1/1950,Feb-50,
3/1/1950,Mar-50,
4/1/1950,Apr-50,
5/1/1950,May-50,
6/1/1950,Jun-50,
7/1/1950,Jul-50,
8/1/1950,Aug-50,
9/1/1950,Sep-50,
10/1/1950,Oct-50,
11/1/1950,Nov-50,
12/1/1950,Dec-50,
1/1/1951,Jan-51,
2/1/1951,Feb-51,
3/1/1951,Mar-51,
4/1/1951,Apr-51,
5/1/1951,May-51,
6/1/1951,Jun-51,
7/1/1951,Jul-51,
8/1/1951,Aug-51,
9/1/1951,Sep-51,
10/1/1951,Oct-51,
11/1/1951,Nov-51,
12/1/1951,Dec-51,
1/1/1952,Jan-52,
2/1/1952,Feb-52,
3/1/1952,Mar-52,
4/1/1952,Apr-52,
5/1/1952,May-52,
6/1/1952,Jun-52,
7/1/1952,Jul-52,
8/1/1952,Aug-52,
9/1/1952,Sep-52,
10/1/1952,Oct-52,
11/1/1952,Nov-52,
12/1/1952,Dec-52,
1/1/1953,Jan-53,
2/1/1953,Feb-53,
3/1/1953,Mar-53,
4/1/1953,Apr-53,
5/1/1953,May-53,
6/1/1953,Jun-53,
7/1/1953,Jul-53,
8/1/1953,Aug-53,
9/1/1953,Sep-53,
10/1/1953,Oct-53,
11/1/1953,Nov-53,
12/1/1953,Dec-53,
1/1/1954,Jan-54,
2/1/1954,Feb-54,
3/1/1954,Mar-54,
4/1/1954,Apr-54,
5/1/1954,May-54,
6/1/1954,Jun-54,
7/1/1954,Jul-54,
8/1/1954,Aug-54,
9/1/1954,Sep-54,
10/1/1954,Oct-54,
11/1/1954,Nov-54,
12/1/1954,Dec-54,
1/1/1955,Jan-55,
2/1/1955,Feb-55,
3/1/1955,Mar-55,
4/1/1955,Apr-55,
5/1/1955,May-55,
6/1/1955,Jun-55,
7/1/1955,Jul-55,
8/1/1955,Aug-55,
9/1/1955,Sep-55,
10/1/1955,Oct-55,
11/1/1955,Nov-55,
12/1/1955,Dec-55,
1/1/1956,Jan-56,
2/1/1956,Feb-56,
3/1/1956,Mar-56,
4/1/1956,Apr-56,
5/1/1956,May-56,
6/1/1956,Jun-56,
7/1/1956,Jul-56,
8/1/1956,Aug-56,
9/1/1956,Sep-56,
10/1/1956,Oct-56,
11/1/1956,Nov-56,
12/1/1956,Dec-56,
1/1/1957,Jan-57,
2/1/1957,Feb-57,
3/1/1957,Mar-57,
4/1/1957,Apr-57,
5/1/1957,May-57,
6/1/1957,Jun-57,
7/1/1957,Jul-57,
8/1/1957,Aug-57,
9/1/1957,Sep-57,
10/1/1957,Oct-57,
11/1/1957,Nov-57,
12/1/1957,Dec-57,
1/1/1958,Jan-58,
2/1/1958,Feb-58,
3/1/1958,Mar-58,
4/1/1958,Apr-58,
5/1/1958,May-58,
6/1/1958,Jun-58,
7/1/1958,Jul-58,
8/1/1958,Aug-58,
9/1/1958,Sep-58,
10/1/1958,Oct-58,
11/1/1958,Nov-58,
12/1/1958,Dec-58,
1/1/1959,Jan-59,
2/1/1959,Feb-59,
3/1/1959,Mar-59,
4/1/1959,Apr-59,
5/1/1959,May-59,
6/1/1959,Jun-59,
7/1/1959,Jul-59,
8/1/1959,Aug-59,
9/1/1959,Sep-59,
10/1/1959,Oct-59,
11/1/1959,Nov-59,
12/1/1959,Dec-59,
1/1/1960,Jan-60,
2/1/1960,Feb-60,
3/1/1960,Mar-60,
4/1/1960,Apr-60,
5/1/1960,May-60,
6/1/1960,Jun-60,
7/1/1960,Jul-60,
8/1/1960,Aug-60,
9/1/1960,Sep-60,
10/1/1960,Oct-60,
11/1/1960,Nov-60,
12/1/1960,Dec-60,
1/1/1961,Jan-61,
2/1/1961,Feb-61,
3/1/1961,Mar-61,
4/1/1961,Apr-61,
5/1/1961,May-61,
6/1/1961,Jun-61,
7/1/1961,Jul-61,
8/1/1961,Aug-61,
9/1/1961,Sep-61,
10/1/1961,Oct-61,
11/1/1961,Nov-61,
12/1/1961,Dec-61,
1/1/1962,Jan-62,
2/1/1962,Feb-62,
3/1/1962,Mar-62,
4/1/1962,Apr-62,
5/1/1962,May-62,
6/1/1962,Jun-62,
7/1/1962,Jul-62,
8/1/1962,Aug-62,
9/1/1962,Sep-62,
10/1/1962,Oct-62,
11/1/1962,Nov-62,
12/1/1962,Dec-62,
1/1/1963,Jan-63,
2/1/1963,Feb-63,
3/1/1963,Mar-63,
4/1/1963,Apr-63,
5/1/1963,May-63,
6/1/1963,Jun-63,
7/1/1963,Jul-63,
8/1/1963,Aug-63,
9/1/1963,Sep-63,
10/1/1963,Oct-63,
11/1/1963,Nov-63,
12/1/1963,Dec-63,
1/1/1964,Jan-64,
2/1/1964,Feb-64,
3/1/1964,Mar-64,
4/1/1964,Apr-64,
5/1/1964,May-64,
6/1/1964,Jun-64,
7/1/1964,Jul-64,
8/1/1964,Aug-64,
9/1/1964,Sep-64,
10/1/1964,Oct-64,
11/1/1964,Nov-64,
12/1/1964,Dec-64,
1/1/1965,Jan-65,
2/1/1965,Feb-65,
3/1/1965,Mar-65,
4/1/1965,Apr-65,
5/1/1965,May-65,
6/1/1965,Jun-65,
7/1/1965,Jul-65,
8/1/1965,Aug-65,
9/1/1965,Sep-65,
10/1/1965,Oct-65,
11/1/1965,Nov-65,
12/1/1965,Dec-65,
1/1/1966,Jan-66,
2/1/1966,Feb-66,
3/1/1966,Mar-66,
4/1/1966,Apr-66,
5/1/1966,May-66,
6/1/1966,Jun-66,
